,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-10-02,10.00,1,1165,32
1,2023-09-29,10.00,1,1329,37
2,2023-09-28,10.00,1,1191,39
3,2023-09-27,30.00,3,1816,39
4,2023-09-26,10.00,1,5841,23
5,2023-09-25,10.00,1,3856,105
6,2023-09-22,10.00,1,3624,142
7,2023-09-21,10.00,1,3766,106
8,2023-09-20,30.00,3,2843,116
9,2023-09-19,10.00,1,994,179
10,2023-09-15,5.00,1,552,177
11,2023-09-14,5.00,1,323,173
12,2023-09-13,20.00,4,241,67
13,2023-09-12,0,0,11,39
14,2023-09-11,0,0,10,39
15,2023-09-08,0,0,10,46
16,2023-09-07,0,0,8,46
17,2023-09-06,0,0,9,46
18,2023-09-05,0,0,11,46
19,2023-09-04,0,0,13,30
20,2023-09-01,0,0,14,46
