,日付,信用売残,信用買残,信用倍率
0,2023-10-06,1434900,849900,0.59
1,2023-09-29,1553900,892000,0.57
2,2023-09-22,1452600,840500,0.58
3,2023-09-15,1452400,826900,0.57
4,2023-09-08,1490200,788000,0.53
5,2023-09-01,1549000,653800,0.42
6,2023-08-25,1514200,641600,0.42
7,2023-08-18,1371800,697900,0.51
8,2023-08-10,1232100,738200,0.6
9,2023-08-04,1113900,785500,0.71
10,2023-07-28,1089800,699900,0.64
11,2023-07-21,1080600,755700,0.7
12,2023-07-14,1056700,721200,0.68
13,2023-07-07,1076300,726500,0.67
14,2023-06-30,1059800,607500,0.57
15,2023-06-23,963600,600700,0.62
16,2023-06-16,992800,656300,0.66
17,2023-06-09,964800,618400,0.64
18,2023-06-02,983400,683400,0.69
19,2023-05-26,958500,708800,0.74
20,2023-05-19,978100,698700,0.71
21,2023-05-12,899700,544600,0.61
22,2023-04-28,922900,610100,0.66
23,2023-04-21,1037300,618700,0.6
24,2023-04-14,1051800,636700,0.61
