,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-11-17,952,1006,942,1001,1048900,1001.0
1,2023-11-16,994,1004,954,960,1081800,960.0
2,2023-11-15,1010,1063,987,996,1724200,996.0
3,2023-11-14,1026,1050,983,998,1442700,998.0
4,2023-11-13,993,1018,992,1004,716100,1004.0
5,2023-11-10,1003,1003,971,984,673600,984.0
6,2023-11-09,1010,1015,987,1008,533900,1008.0
7,2023-11-08,1022,1023,996,1008,419800,1008.0
8,2023-11-07,1021,1030,1003,1007,402100,1007.0
9,2023-11-06,1034,1048,1019,1030,423400,1030.0
10,2023-11-02,1009,1033,995,1016,522500,1016.0
11,2023-11-01,1017,1023,996,1011,340000,1011.0
12,2023-10-31,1010,1015,984,1006,551400,1006.0
13,2023-10-30,1010,1034,996,1009,376700,1009.0
14,2023-10-27,1000,1018,989,1017,474600,1017.0
15,2023-10-26,1015,1020,981,989,643800,989.0
16,2023-10-25,1070,1074,1031,1033,305100,1033.0
17,2023-10-24,1022,1053,1010,1052,687700,1052.0
18,2023-10-23,1007,1037,1005,1024,559300,1024.0
19,2023-10-20,1028,1057,1012,1021,550000,1021.0
20,2023-10-19,1007,1090,1005,1028,494800,1028.0
21,2023-10-18,1065,1069,1030,1037,463700,1037.0
22,2023-10-17,1068,1094,1056,1069,363500,1069.0
23,2023-10-16,1127,1127,1026,1045,839300,1045.0
24,2023-10-13,1180,1183,1132,1141,360400,1141.0
