,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-10-18,2,41,1065.0,1069.0,1030.0,1037.0,463700.0,1037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2023-10-17,1,41,1068.0,1094.0,1056.0,1069.0,363500.0,1069.0,0.0,0.0,0.0,0.05,1.0,856100.0,104600.0
2,2023-10-16,0,41,1127.0,1127.0,1026.0,1045.0,839300.0,1045.0,0.0,0.0,0.0,0.05,1.0,790100.0,113500.0
3,2023-10-13,4,40,1180.0,1183.0,1132.0,1141.0,360400.0,1141.0,1414000.0,843200.0,0.6,0.7,1.0,820600.0,98700.0
4,2023-10-12,3,40,1130.0,1193.0,1118.0,1183.0,486900.0,1183.0,0.0,0.0,0.0,0.05,1.0,850500.0,101700.0
5,2023-10-11,2,40,1116.0,1153.0,1115.0,1144.0,306300.0,1144.0,0.0,0.0,0.0,3.0,3.0,868500.0,105700.0
6,2023-10-10,1,40,1161.0,1168.0,1117.0,1121.0,431500.0,1121.0,0.0,0.0,0.0,0.05,1.0,839700.0,95400.0
7,2023-10-06,4,39,1179.0,1190.0,1137.0,1161.0,579400.0,1161.0,1434900.0,849900.0,0.59,0.05,1.0,834300.0,104800.0
8,2023-10-05,3,39,1100.0,1149.0,1075.0,1147.0,697900.0,1147.0,0.0,0.0,0.0,0.05,1.0,939700.0,100100.0
9,2023-10-04,2,39,1076.0,1119.0,1071.0,1087.0,672100.0,1087.0,0.0,0.0,0.0,0.2,4.0,951000.0,89900.0
10,2023-10-03,1,39,1120.0,1135.0,1089.0,1094.0,666800.0,1094.0,0.0,0.0,0.0,3.9,1.0,970800.0,111800.0
11,2023-10-02,0,39,1192.0,1197.0,1138.0,1139.0,772100.0,1139.0,0.0,0.0,0.0,0.5,1.0,956000.0,122200.0
12,2023-09-29,4,38,1211.0,1221.0,1182.0,1187.0,608900.0,1187.0,1553900.0,892000.0,0.57,0.05,1.0,932200.0,134600.0
13,2023-09-28,3,38,1237.0,1247.0,1202.0,1210.0,475900.0,1210.0,0.0,0.0,0.0,0.75,1.0,960900.0,130100.0
14,2023-09-27,2,38,1229.0,1260.0,1218.0,1259.0,547800.0,1259.0,0.0,0.0,0.0,1.8,3.0,1010100.0,137600.0
15,2023-09-26,1,38,1306.0,1318.0,1248.0,1248.0,455200.0,1248.0,0.0,0.0,0.0,0.05,1.0,942200.0,144200.0
16,2023-09-25,0,38,1295.0,1337.0,1292.0,1309.0,324300.0,1309.0,0.0,0.0,0.0,0.05,1.0,896400.0,133000.0
17,2023-09-22,4,37,1306.0,1325.0,1291.0,1301.0,485300.0,1301.0,1452600.0,840500.0,0.58,0.05,1.0,878300.0,134000.0
18,2023-09-21,3,37,1352.0,1372.0,1325.0,1335.0,317000.0,1335.0,0.0,0.0,0.0,0.05,1.0,886100.0,134800.0
19,2023-09-20,2,37,1379.0,1399.0,1354.0,1373.0,325300.0,1373.0,0.0,0.0,0.0,0.15,3.0,902600.0,114000.0
20,2023-09-19,1,37,1348.0,1382.0,1332.0,1380.0,377000.0,1380.0,0.0,0.0,0.0,0.05,1.0,914000.0,119000.0
21,2023-09-15,4,36,1385.0,1389.0,1354.0,1378.0,514100.0,1378.0,1452400.0,826900.0,0.57,0.05,1.0,891300.0,108100.0
22,2023-09-14,3,36,1461.0,1475.0,1395.0,1395.0,622100.0,1395.0,0.0,0.0,0.0,0.05,1.0,880500.0,122400.0
23,2023-09-13,2,36,1426.0,1467.0,1415.0,1457.0,408900.0,1457.0,0.0,0.0,0.0,0.2,4.0,896500.0,107900.0
24,2023-09-12,1,36,1393.0,1434.0,1376.0,1430.0,487000.0,1430.0,0.0,0.0,0.0,0.05,1.0,904200.0,116700.0
25,2023-09-11,0,36,1404.0,1414.0,1382.0,1400.0,520500.0,1400.0,0.0,0.0,0.0,0.05,1.0,949300.0,113300.0
26,2023-09-08,4,35,1436.0,1448.0,1409.0,1428.0,536100.0,1428.0,1490200.0,788000.0,0.53,0.05,1.0,945800.0,111800.0
27,2023-09-07,3,35,1476.0,1486.0,1442.0,1447.0,444200.0,1447.0,0.0,0.0,0.0,0.05,1.0,966800.0,106100.0
28,2023-09-06,2,35,1520.0,1529.0,1482.0,1485.0,557000.0,1485.0,0.0,0.0,0.0,0.15,3.0,979900.0,95900.0
29,2023-09-05,1,35,1533.0,1554.0,1525.0,1543.0,219500.0,1543.0,0.0,0.0,0.0,0.05,1.0,1034500.0,85600.0
30,2023-09-04,0,35,1562.0,1570.0,1531.0,1531.0,356700.0,1531.0,0.0,0.0,0.0,0.05,1.0,1037200.0,84900.0
31,2023-09-01,4,34,1550.0,1584.0,1541.0,1575.0,373500.0,1575.0,1549000.0,653800.0,0.42,0.05,1.0,1042700.0,85200.0
32,2023-08-31,3,34,1614.0,1624.0,1579.0,1579.0,540600.0,1579.0,0.0,0.0,0.0,0.05,1.0,1031600.0,82700.0
33,2023-08-30,2,34,1662.0,1672.0,1628.0,1630.0,290800.0,1630.0,0.0,0.0,0.0,0.3,3.0,1053500.0,84900.0
34,2023-08-29,1,34,1609.0,1664.0,1609.0,1634.0,382600.0,1634.0,0.0,0.0,0.0,0.05,1.0,1059800.0,84400.0
35,2023-08-28,0,34,1600.0,1630.0,1573.0,1618.0,433000.0,1618.0,0.0,0.0,0.0,0.05,1.0,1018800.0,87200.0
36,2023-08-25,4,33,1573.0,1631.0,1552.0,1622.0,571100.0,1622.0,1514200.0,641600.0,0.42,0.05,1.0,1009400.0,84800.0
