,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
1,2023-11-16,3,45,994.0,1004.0,954.0,960.0,1081800.0,960.0,0.0,0.0,0.0,0.05,1.0,753100.0,189700.0,36.0,1,0.03614457831325301,34.0,5
2,2023-11-15,2,45,1010.0,1063.0,987.0,996.0,1724200.0,996.0,0.0,0.0,0.0,0.15,3.0,778200.0,128700.0,2.0,1,0.002004008016032064,14.0,5
3,2023-11-14,1,45,1026.0,1050.0,983.0,998.0,1442700.0,998.0,0.0,0.0,0.0,0.05,1.0,790700.0,133900.0,6.0,1,0.00597609561752988,28.0,5
4,2023-11-13,0,45,993.0,1018.0,992.0,1004.0,716100.0,1004.0,0.0,0.0,0.0,0.05,1.0,820800.0,136000.0,-20.0,0,-0.02032520325203252,-11.0,5
6,2023-11-09,3,44,1010.0,1015.0,987.0,1008.0,533900.0,1008.0,0.0,0.0,0.0,0.05,1.0,800100.0,127100.0,0.0,0,0.0,2.0,5
7,2023-11-08,2,44,1022.0,1023.0,996.0,1008.0,419800.0,1008.0,0.0,0.0,0.0,0.15,3.0,799600.0,128000.0,-1.0,0,-0.0009930486593843098,14.0,5
8,2023-11-07,1,44,1021.0,1030.0,1003.0,1007.0,402100.0,1007.0,0.0,0.0,0.0,0.05,1.0,860800.0,121000.0,23.0,1,0.02233009708737864,14.0,5
9,2023-11-06,0,44,1034.0,1048.0,1019.0,1030.0,423400.0,1030.0,0.0,0.0,0.0,0.05,1.0,871300.0,107100.0,-14.0,0,-0.013779527559055118,4.0,5
15,2023-10-26,3,42,1015.0,1020.0,981.0,989.0,643800.0,989.0,0.0,0.0,0.0,0.05,1.0,743100.0,118400.0,44.0,1,0.04259438528557599,26.0,5
16,2023-10-25,2,42,1070.0,1074.0,1031.0,1033.0,305100.0,1033.0,0.0,0.0,0.0,0.3,3.0,806600.0,117800.0,19.0,1,0.01806083650190114,37.0,5
17,2023-10-24,1,42,1022.0,1053.0,1010.0,1052.0,687700.0,1052.0,0.0,0.0,0.0,0.05,1.0,808200.0,112000.0,-28.0,0,-0.02734375,-30.0,5
18,2023-10-23,0,42,1007.0,1037.0,1005.0,1024.0,559300.0,1024.0,0.0,0.0,0.0,0.05,1.0,849100.0,108800.0,-3.0,0,-0.002938295788442703,-17.0,5
20,2023-10-19,3,41,1007.0,1090.0,1005.0,1028.0,494800.0,1028.0,0.0,0.0,0.0,0.05,1.0,886300.0,100700.0,9.0,1,0.008678881388621022,-21.0,5
21,2023-10-18,2,41,1065.0,1069.0,1030.0,1037.0,463700.0,1037.0,0.0,0.0,0.0,0.3,3.0,850200.0,103700.0,32.0,1,0.029934518241347054,28.0,5
22,2023-10-17,1,41,1068.0,1094.0,1056.0,1069.0,363500.0,1069.0,0.0,0.0,0.0,0.05,1.0,856100.0,104600.0,-24.0,0,-0.022966507177033493,-1.0,5
23,2023-10-16,0,41,1127.0,1127.0,1026.0,1045.0,839300.0,1045.0,0.0,0.0,0.0,0.05,1.0,790100.0,113500.0,96.0,1,0.08413672217353199,82.0,5
29,2023-10-05,3,39,1100.0,1149.0,1075.0,1147.0,697900.0,1147.0,0.0,0.0,0.0,0.05,1.0,939700.0,100100.0,-60.0,0,-0.05519779208831647,-47.0,5
30,2023-10-04,2,39,1076.0,1119.0,1071.0,1087.0,672100.0,1087.0,0.0,0.0,0.0,0.2,4.0,951000.0,89900.0,7.0,1,0.006398537477148081,-11.0,5
31,2023-10-03,1,39,1120.0,1135.0,1089.0,1094.0,666800.0,1094.0,0.0,0.0,0.0,3.9,1.0,970800.0,111800.0,45.0,1,0.03950834064969271,26.0,5
32,2023-10-02,0,39,1192.0,1197.0,1138.0,1139.0,772100.0,1139.0,0.0,0.0,0.0,0.5,1.0,956000.0,122200.0,48.0,1,0.040438079191238416,53.0,5
34,2023-09-28,3,38,1237.0,1247.0,1202.0,1210.0,475900.0,1210.0,0.0,0.0,0.0,0.75,1.0,960900.0,130100.0,49.0,1,0.03891977760127085,27.0,5
35,2023-09-27,2,38,1229.0,1260.0,1218.0,1259.0,547800.0,1259.0,0.0,0.0,0.0,1.8,3.0,1010100.0,137600.0,-11.0,0,-0.008814102564102564,-30.0,5
36,2023-09-26,1,38,1306.0,1318.0,1248.0,1248.0,455200.0,1248.0,0.0,0.0,0.0,0.05,1.0,942200.0,144200.0,61.0,1,0.04660045836516425,58.0,5
37,2023-09-25,0,38,1295.0,1337.0,1292.0,1309.0,324300.0,1309.0,0.0,0.0,0.0,0.05,1.0,896400.0,133000.0,-8.0,0,-0.006149116064565719,-14.0,5
43,2023-09-14,3,36,1461.0,1475.0,1395.0,1395.0,622100.0,1395.0,0.0,0.0,0.0,0.05,1.0,880500.0,122400.0,62.0,1,0.0425531914893617,66.0,5
44,2023-09-13,2,36,1426.0,1467.0,1415.0,1457.0,408900.0,1457.0,0.0,0.0,0.0,0.2,4.0,896500.0,107900.0,-27.0,0,-0.01888111888111888,-31.0,5
45,2023-09-12,1,36,1393.0,1434.0,1376.0,1430.0,487000.0,1430.0,0.0,0.0,0.0,0.05,1.0,904200.0,116700.0,-30.0,0,-0.02142857142857143,-37.0,5
46,2023-09-11,0,36,1404.0,1414.0,1382.0,1400.0,520500.0,1400.0,0.0,0.0,0.0,0.05,1.0,949300.0,113300.0,28.0,1,0.0196078431372549,4.0,5
48,2023-09-07,3,35,1476.0,1486.0,1442.0,1447.0,444200.0,1447.0,0.0,0.0,0.0,0.05,1.0,966800.0,106100.0,38.0,1,0.02558922558922559,29.0,5
49,2023-09-06,2,35,1520.0,1529.0,1482.0,1485.0,557000.0,1485.0,0.0,0.0,0.0,0.15,3.0,979900.0,95900.0,58.0,1,0.037589112119248216,35.0,5
50,2023-09-05,1,35,1533.0,1554.0,1525.0,1543.0,219500.0,1543.0,0.0,0.0,0.0,0.05,1.0,1034500.0,85600.0,-12.0,0,-0.007838014369693011,-10.0,5
51,2023-09-04,0,35,1562.0,1570.0,1531.0,1531.0,356700.0,1531.0,0.0,0.0,0.0,0.05,1.0,1037200.0,84900.0,44.0,1,0.027936507936507936,31.0,5
53,2023-08-31,3,34,1614.0,1624.0,1579.0,1579.0,540600.0,1579.0,0.0,0.0,0.0,0.05,1.0,1031600.0,82700.0,51.0,1,0.03128834355828221,35.0,5
54,2023-08-30,2,34,1662.0,1672.0,1628.0,1630.0,290800.0,1630.0,0.0,0.0,0.0,0.3,3.0,1053500.0,84900.0,4.0,1,0.0024479804161566705,32.0,5
55,2023-08-29,1,34,1609.0,1664.0,1609.0,1634.0,382600.0,1634.0,0.0,0.0,0.0,0.05,1.0,1059800.0,84400.0,-16.0,0,-0.009888751545117428,-25.0,5
56,2023-08-28,0,34,1600.0,1630.0,1573.0,1618.0,433000.0,1618.0,0.0,0.0,0.0,0.05,1.0,1018800.0,87200.0,4.0,1,0.002466091245376079,-18.0,5
58,2023-08-24,3,33,1594.0,1608.0,1541.0,1596.0,619600.0,1596.0,0.0,0.0,0.0,0.05,1.0,974400.0,92100.0,-2.0,0,-0.0012547051442910915,-2.0,5
59,2023-08-23,2,33,1529.0,1605.0,1522.0,1594.0,721400.0,1594.0,0.0,0.0,0.0,0.3,3.0,964100.0,84900.0,-59.0,0,-0.038436482084690554,-65.0,5
60,2023-08-22,1,33,1480.0,1543.0,1479.0,1535.0,691000.0,1535.0,0.0,0.0,0.0,0.05,1.0,929800.0,98100.0,-59.0,0,-0.03997289972899729,-55.0,5
61,2023-08-21,0,33,1432.0,1546.0,1432.0,1476.0,907500.0,1476.0,0.0,0.0,0.0,0.05,1.0,830900.0,91100.0,-16.0,0,-0.010958904109589041,-44.0,5
63,2023-08-17,3,32,1510.0,1520.0,1456.0,1471.0,571200.0,1471.0,0.0,0.0,0.0,0.05,1.0,837600.0,105500.0,61.0,1,0.03981723237597911,39.0,5
64,2023-08-16,2,32,1574.0,1578.0,1512.0,1532.0,575800.0,1532.0,0.0,0.0,0.0,0.15,3.0,814000.0,95300.0,58.0,1,0.03647798742138365,42.0,5
65,2023-08-15,1,32,1605.0,1619.0,1578.0,1590.0,460200.0,1590.0,0.0,0.0,0.0,0.05,1.0,861800.0,89300.0,15.0,1,0.009345794392523364,15.0,5
66,2023-08-14,0,32,1523.0,1615.0,1515.0,1605.0,1477500.0,1605.0,0.0,0.0,0.0,0.05,1.0,850800.0,91200.0,87.0,1,0.051418439716312055,-82.0,5
72,2023-08-03,3,30,1705.0,1711.0,1663.0,1672.0,330200.0,1672.0,0.0,0.0,0.0,0.05,1.0,656200.0,186900.0,44.0,1,0.02564102564102564,33.0,5
73,2023-08-02,2,30,1714.0,1749.0,1713.0,1716.0,255400.0,1716.0,0.0,0.0,0.0,0.15,3.0,654400.0,175500.0,9.0,1,0.0052173913043478265,-2.0,5
74,2023-08-01,1,30,1750.0,1763.0,1711.0,1725.0,313500.0,1725.0,0.0,0.0,0.0,0.05,1.0,655400.0,165700.0,42.0,1,0.023769100169779286,25.0,5
75,2023-07-31,0,30,1820.0,1820.0,1757.0,1767.0,295300.0,1767.0,0.0,0.0,0.0,0.5,1.0,666200.0,157900.0,49.0,1,0.026982378854625552,53.0,5
77,2023-07-27,3,29,1749.0,1797.0,1734.0,1797.0,255200.0,1797.0,0.0,0.0,0.0,0.05,1.0,657300.0,145500.0,-42.0,0,-0.023931623931623933,-48.0,5
78,2023-07-26,2,29,1732.0,1757.0,1720.0,1755.0,161900.0,1755.0,0.0,0.0,0.0,0.3,3.0,658000.0,169700.0,-18.0,0,-0.010362694300518135,-23.0,5
79,2023-07-25,1,29,1719.0,1742.0,1712.0,1737.0,188600.0,1737.0,0.0,0.0,0.0,0.05,1.0,655100.0,176700.0,-18.0,0,-0.010471204188481676,-18.0,5
80,2023-07-24,0,29,1716.0,1727.0,1708.0,1719.0,180000.0,1719.0,0.0,0.0,0.0,0.05,1.0,657200.0,195900.0,0.0,0,0.0,-3.0,5
86,2023-07-13,3,27,1793.0,1797.0,1752.0,1765.0,290000.0,1765.0,0.0,0.0,0.0,0.1,1.0,652700.0,179900.0,37.0,1,0.020532741398446172,28.0,5
87,2023-07-12,2,27,1830.0,1830.0,1799.0,1802.0,218600.0,1802.0,0.0,0.0,0.0,0.4,4.0,651800.0,161300.0,21.0,1,0.01151947339550192,28.0,5
88,2023-07-11,1,27,1787.0,1838.0,1786.0,1823.0,386300.0,1823.0,0.0,0.0,0.0,0.1,1.0,655200.0,156700.0,-36.0,0,-0.020145495243424735,-36.0,5
89,2023-07-10,0,27,1770.0,1795.0,1739.0,1787.0,437700.0,1787.0,0.0,0.0,0.0,0.05,1.0,653200.0,165200.0,-9.0,0,-0.005061867266591676,-17.0,5
91,2023-07-06,3,26,1808.0,1833.0,1791.0,1822.0,340300.0,1822.0,0.0,0.0,0.0,0.05,1.0,651800.0,161500.0,-5.0,0,-0.00275178866263071,-14.0,5
92,2023-07-05,2,26,1836.0,1840.0,1812.0,1817.0,253100.0,1817.0,0.0,0.0,0.0,0.15,3.0,650100.0,161400.0,29.0,1,0.01570964247020585,19.0,5
93,2023-07-04,1,26,1860.0,1865.0,1831.0,1846.0,260400.0,1846.0,0.0,0.0,0.0,0.5,1.0,670100.0,147700.0,26.0,1,0.013888888888888888,14.0,5
94,2023-07-03,0,26,1870.0,1886.0,1858.0,1872.0,134000.0,1872.0,0.0,0.0,0.0,0.1,1.0,689000.0,137200.0,0.0,0,0.0,-2.0,5
96,2023-06-29,3,25,1914.0,1919.0,1879.0,1882.0,168100.0,1882.0,0.0,0.0,0.0,0.05,1.0,687200.0,128900.0,27.0,1,0.014143530644316397,32.0,5
97,2023-06-28,2,25,1919.0,1930.0,1895.0,1909.0,243900.0,1909.0,0.0,0.0,0.0,0.3,3.0,694900.0,118600.0,10.0,1,0.005211047420531527,10.0,5
