,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
166,2023-11-02,3,2080.0,2080.0,2054.0,2055.0,8200.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,2023-11-01,2,2067.0,2086.0,2066.0,2080.0,15200.0,2080.0,0.0,0.0,0.0,0.0,0.0,300.0,3600.0
168,2023-10-31,1,2017.0,2033.0,1992.0,2033.0,13100.0,2033.0,0.0,0.0,0.0,0.0,0.0,500.0,3600.0
169,2023-10-30,0,2039.0,2042.0,2014.0,2016.0,11300.0,2016.0,0.0,0.0,0.0,0.0,0.0,600.0,3700.0
170,2023-10-27,4,2053.0,2059.0,2024.0,2046.0,13000.0,2046.0,4000.0,46100.0,11.53,0.0,0.0,600.0,3600.0
171,2023-10-26,3,2035.0,2056.0,2022.0,2037.0,15700.0,2037.0,0.0,0.0,0.0,0.0,0.0,600.0,3800.0
172,2023-10-25,2,2043.0,2060.0,2034.0,2036.0,10800.0,2036.0,0.0,0.0,0.0,0.0,0.0,600.0,3600.0
173,2023-10-24,1,2018.0,2030.0,1965.0,2013.0,27400.0,2013.0,0.0,0.0,0.0,0.0,0.0,500.0,3600.0
174,2023-10-23,0,2025.0,2044.0,2018.0,2018.0,16300.0,2018.0,0.0,0.0,0.0,0.0,0.0,200.0,3800.0
175,2023-10-20,4,2049.0,2053.0,2019.0,2046.0,11900.0,2046.0,3400.0,51100.0,15.03,0.0,0.0,200.0,3600.0
176,2023-10-19,3,2050.0,2066.0,2044.0,2045.0,12100.0,2045.0,0.0,0.0,0.0,0.0,0.0,200.0,3600.0
