,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-11-17,2100,2145,2072,2145,26000,2145.0
1,2023-11-16,2100,2118,2072,2103,20300,2103.0
2,2023-11-15,2095,2096,2064,2092,15100,2092.0
3,2023-11-14,2137,2137,2056,2065,26400,2065.0
4,2023-11-13,2195,2197,2050,2127,71000,2127.0
5,2023-11-10,2110,2132,2100,2132,27200,2132.0
6,2023-11-09,2083,2132,2080,2129,17500,2129.0
7,2023-11-08,2104,2110,2071,2071,17300,2071.0
8,2023-11-07,2099,2117,2087,2093,7500,2093.0
9,2023-11-06,2093,2111,2075,2111,28500,2111.0
10,2023-11-02,2080,2080,2054,2055,8200,2055.0
11,2023-11-01,2067,2086,2066,2080,15200,2080.0
12,2023-10-31,2017,2033,1992,2033,13100,2033.0
13,2023-10-30,2039,2042,2014,2016,11300,2016.0
14,2023-10-27,2053,2059,2024,2046,13000,2046.0
15,2023-10-26,2035,2056,2022,2037,15700,2037.0
16,2023-10-25,2043,2060,2034,2036,10800,2036.0
17,2023-10-24,2018,2030,1965,2013,27400,2013.0
18,2023-10-23,2025,2044,2018,2018,16300,2018.0
19,2023-10-20,2049,2053,2019,2046,11900,2046.0
20,2023-10-19,2050,2066,2044,2045,12100,2045.0
21,2023-10-18,2069,2070,2046,2067,10700,2067.0
22,2023-10-17,2065,2093,2041,2048,12400,2048.0
23,2023-10-16,2048,2064,2039,2061,15800,2061.0
24,2023-10-13,2060,2078,2047,2059,14400,2059.0
