,Unnamed: 0,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
0,0,2023-11-02,3,43,2080.0,2080.0,2054.0,2055.0,8200.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0.01201923076923077,25.0,4
1,1,2023-11-01,2,43,2067.0,2086.0,2066.0,2080.0,15200.0,2080.0,0.0,0.0,0.0,0.0,0.0,300.0,3600.0,-47.0,0,-0.023118544023610427,-13.0,4
2,2,2023-10-31,1,43,2017.0,2033.0,1992.0,2033.0,13100.0,2033.0,0.0,0.0,0.0,0.0,0.0,500.0,3600.0,-17.0,0,-0.008432539682539682,-16.0,4
3,3,2023-10-30,0,43,2039.0,2042.0,2014.0,2016.0,11300.0,2016.0,0.0,0.0,0.0,0.0,0.0,600.0,3700.0,30.0,1,0.01466275659824047,23.0,4
4,4,2023-10-27,4,42,2053.0,2059.0,2024.0,2046.0,13000.0,2046.0,4000.0,46100.0,11.53,0.0,0.0,600.0,3600.0,-9.0,0,-0.004418262150220913,7.0,5
5,5,2023-10-26,3,42,2035.0,2056.0,2022.0,2037.0,15700.0,2037.0,0.0,0.0,0.0,0.0,0.0,600.0,3800.0,-1.0,0,-0.0004911591355599214,-2.0,5
6,6,2023-10-25,2,42,2043.0,2060.0,2034.0,2036.0,10800.0,2036.0,0.0,0.0,0.0,0.0,0.0,600.0,3600.0,-23.0,0,-0.011425732737208148,7.0,5
7,7,2023-10-24,1,42,2018.0,2030.0,1965.0,2013.0,27400.0,2013.0,0.0,0.0,0.0,0.0,0.0,500.0,3600.0,5.0,1,0.002477700693756194,5.0,5
8,8,2023-10-23,0,42,2025.0,2044.0,2018.0,2018.0,16300.0,2018.0,0.0,0.0,0.0,0.0,0.0,200.0,3800.0,28.0,1,0.013685239491691105,7.0,5
9,9,2023-10-20,4,41,2049.0,2053.0,2019.0,2046.0,11900.0,2046.0,3400.0,51100.0,15.03,0.0,0.0,200.0,3600.0,-1.0,0,-0.0004889975550122249,3.0,5
10,10,2023-10-19,3,41,2050.0,2066.0,2044.0,2045.0,12100.0,2045.0,0.0,0.0,0.0,0.0,0.0,200.0,3600.0,22.0,1,0.010643444605708756,5.0,5
11,11,2023-10-18,2,41,2069.0,2070.0,2046.0,2067.0,10700.0,2067.0,0.0,0.0,0.0,0.0,0.0,500.0,3600.0,-19.0,0,-0.00927734375,2.0,5
12,12,2023-10-17,1,41,2065.0,2093.0,2041.0,2048.0,12400.0,2048.0,0.0,0.0,0.0,0.0,0.0,500.0,3600.0,13.0,1,0.006307617661329452,17.0,5
13,13,2023-10-16,0,41,2048.0,2064.0,2039.0,2061.0,15800.0,2061.0,0.0,0.0,0.0,0.0,0.0,500.0,5300.0,-2.0,0,-0.0009713453132588635,-13.0,5
14,14,2023-10-13,4,40,2060.0,2078.0,2047.0,2059.0,14400.0,2059.0,3400.0,52900.0,15.56,0.0,0.0,500.0,3600.0,15.0,1,0.007232401157184185,1.0,4
15,15,2023-10-12,3,40,2062.0,2075.0,2057.0,2074.0,8200.0,2074.0,0.0,0.0,0.0,0.0,0.0,500.0,3600.0,-22.0,0,-0.010721247563352826,-12.0,4
16,16,2023-10-11,2,40,2075.0,2078.0,2042.0,2052.0,18400.0,2052.0,0.0,0.0,0.0,0.0,0.0,500.0,3600.0,23.0,1,0.01108433734939759,23.0,4
17,17,2023-10-10,1,40,2062.0,2085.0,2062.0,2075.0,15700.0,2075.0,0.0,0.0,0.0,0.0,0.0,500.0,3600.0,-24.0,0,-0.011701608971233545,-13.0,4
18,18,2023-10-06,4,39,2032.0,2061.0,2011.0,2051.0,16900.0,2051.0,2700.0,54100.0,20.04,0.0,0.0,500.0,3600.0,-35.0,0,-0.017361111111111112,-19.0,5
19,19,2023-10-05,3,39,1985.0,2021.0,1985.0,2016.0,15100.0,2016.0,0.0,0.0,0.0,0.0,0.0,500.0,3600.0,-57.0,0,-0.02909647779479326,-31.0,5
20,20,2023-10-04,2,39,1985.0,2005.0,1959.0,1959.0,31300.0,1959.0,0.0,0.0,0.0,0.0,0.0,500.0,3600.0,42.0,1,0.020989505247376312,26.0,5
21,21,2023-10-03,1,39,2023.0,2046.0,2001.0,2001.0,24900.0,2001.0,0.0,0.0,0.0,0.0,0.0,300.0,5400.0,46.0,1,0.02247191011235955,22.0,5
22,22,2023-10-02,0,39,2049.0,2086.0,2045.0,2047.0,34700.0,2047.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,-26.0,0,-0.012864918357248886,2.0,5
23,23,2023-09-29,4,38,2050.0,2061.0,2012.0,2021.0,12300.0,2021.0,1500.0,66600.0,44.4,0.0,0.0,0.0,2600.0,25.0,1,0.012218963831867057,29.0,5
24,24,2023-09-28,3,38,2055.0,2062.0,2035.0,2046.0,21100.0,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,9.0,1,0.004379562043795621,9.0,5
25,25,2023-09-27,2,38,2025.0,2058.0,2011.0,2055.0,23400.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,-31.0,0,-0.015316205533596838,-30.0,5
26,26,2023-09-26,1,38,2060.0,2062.0,2024.0,2024.0,17900.0,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,36.0,1,0.017475728155339806,36.0,5
27,27,2023-09-25,0,38,2031.0,2071.0,2018.0,2060.0,11100.0,2060.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,-31.0,0,-0.015278462296697881,-29.0,5
28,28,2023-09-22,4,37,2021.0,2047.0,2004.0,2029.0,24800.0,2029.0,2900.0,65200.0,22.48,0.0,0.0,0.0,3600.0,3.0,1,0.0014763779527559055,-8.0,4
29,29,2023-09-21,3,37,2030.0,2043.0,2028.0,2032.0,14400.0,2032.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,-2.0,0,-0.0009852216748768472,-2.0,4
30,30,2023-09-20,2,37,2076.0,2080.0,2030.0,2030.0,24800.0,2030.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,46.0,1,0.022157996146435453,46.0,4
31,31,2023-09-19,1,37,2057.0,2077.0,2057.0,2076.0,19900.0,2076.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,-19.0,0,-0.009236752552260573,-19.0,4
32,32,2023-09-15,4,36,2030.0,2066.0,2026.0,2057.0,24500.0,2057.0,2100.0,56300.0,26.81,0.0,0.0,0.0,3600.0,-26.0,0,-0.012801575578532743,-27.0,5
33,33,2023-09-14,3,36,2037.0,2040.0,2026.0,2031.0,17400.0,2031.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,5.0,1,0.002455795677799607,6.0,5
