,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
1,2023-11-16,3,45,2100.0,2118.0,2072.0,2103.0,20300.0,2103.0,0.0,0.0,0.0,0.0,0.0,1200.0,9600.0,-11.0,0,-0.005258126195028681,-3.0,5
2,2023-11-15,2,45,2095.0,2096.0,2064.0,2092.0,15100.0,2092.0,0.0,0.0,0.0,0.0,0.0,1900.0,9600.0,-27.0,0,-0.013075060532687652,3.0,5
3,2023-11-14,1,45,2137.0,2137.0,2056.0,2065.0,26400.0,2065.0,0.0,0.0,0.0,0.0,0.0,1900.0,9600.0,62.0,1,0.02914903620122238,72.0,5
4,2023-11-13,0,45,2195.0,2197.0,2050.0,2127.0,71000.0,2127.0,0.0,0.0,0.0,0.0,0.0,2100.0,10200.0,5.0,1,0.0023452157598499064,68.0,5
6,2023-11-09,3,44,2083.0,2132.0,2080.0,2129.0,17500.0,2129.0,0.0,0.0,0.0,0.0,0.0,2400.0,3200.0,-58.0,0,-0.028005794302269436,-46.0,5
7,2023-11-08,2,44,2104.0,2110.0,2071.0,2071.0,17300.0,2071.0,0.0,0.0,0.0,0.0,0.0,2300.0,3600.0,22.0,1,0.01051122790253225,33.0,5
8,2023-11-07,1,44,2099.0,2117.0,2087.0,2093.0,7500.0,2093.0,0.0,0.0,0.0,0.0,0.0,1800.0,3600.0,18.0,1,0.008526764566556135,6.0,5
9,2023-11-06,0,44,2093.0,2111.0,2075.0,2111.0,28500.0,2111.0,0.0,0.0,0.0,0.0,0.0,1200.0,3600.0,-56.0,0,-0.027250608272506083,-18.0,5
15,2023-10-26,3,42,2035.0,2056.0,2022.0,2037.0,15700.0,2037.0,0.0,0.0,0.0,0.0,0.0,600.0,3800.0,-1.0,0,-0.0004911591355599214,-2.0,5
16,2023-10-25,2,42,2043.0,2060.0,2034.0,2036.0,10800.0,2036.0,0.0,0.0,0.0,0.0,0.0,600.0,3600.0,-23.0,0,-0.011425732737208148,7.0,5
17,2023-10-24,1,42,2018.0,2030.0,1965.0,2013.0,27400.0,2013.0,0.0,0.0,0.0,0.0,0.0,500.0,3600.0,5.0,1,0.002477700693756194,5.0,5
18,2023-10-23,0,42,2025.0,2044.0,2018.0,2018.0,16300.0,2018.0,0.0,0.0,0.0,0.0,0.0,200.0,3800.0,28.0,1,0.013685239491691105,7.0,5
20,2023-10-19,3,41,2050.0,2066.0,2044.0,2045.0,12100.0,2045.0,0.0,0.0,0.0,0.0,0.0,200.0,3600.0,22.0,1,0.010643444605708756,5.0,5
21,2023-10-18,2,41,2069.0,2070.0,2046.0,2067.0,10700.0,2067.0,0.0,0.0,0.0,0.0,0.0,500.0,3600.0,-19.0,0,-0.00927734375,2.0,5
22,2023-10-17,1,41,2065.0,2093.0,2041.0,2048.0,12400.0,2048.0,0.0,0.0,0.0,0.0,0.0,500.0,3600.0,13.0,1,0.006307617661329452,17.0,5
23,2023-10-16,0,41,2048.0,2064.0,2039.0,2061.0,15800.0,2061.0,0.0,0.0,0.0,0.0,0.0,500.0,5300.0,-2.0,0,-0.0009713453132588635,-13.0,5
29,2023-10-05,3,39,1985.0,2021.0,1985.0,2016.0,15100.0,2016.0,0.0,0.0,0.0,0.0,0.0,500.0,3600.0,-57.0,0,-0.02909647779479326,-31.0,5
30,2023-10-04,2,39,1985.0,2005.0,1959.0,1959.0,31300.0,1959.0,0.0,0.0,0.0,0.0,0.0,500.0,3600.0,42.0,1,0.020989505247376312,26.0,5
31,2023-10-03,1,39,2023.0,2046.0,2001.0,2001.0,24900.0,2001.0,0.0,0.0,0.0,0.0,0.0,300.0,5400.0,46.0,1,0.02247191011235955,22.0,5
32,2023-10-02,0,39,2049.0,2086.0,2045.0,2047.0,34700.0,2047.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,-26.0,0,-0.012864918357248886,2.0,5
34,2023-09-28,3,38,2055.0,2062.0,2035.0,2046.0,21100.0,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,9.0,1,0.004379562043795621,9.0,5
35,2023-09-27,2,38,2025.0,2058.0,2011.0,2055.0,23400.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,-31.0,0,-0.015316205533596838,-30.0,5
36,2023-09-26,1,38,2060.0,2062.0,2024.0,2024.0,17900.0,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,36.0,1,0.017475728155339806,36.0,5
37,2023-09-25,0,38,2031.0,2071.0,2018.0,2060.0,11100.0,2060.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,-31.0,0,-0.015278462296697881,-29.0,5
43,2023-09-14,3,36,2037.0,2040.0,2026.0,2031.0,17400.0,2031.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,5.0,1,0.002455795677799607,6.0,5
