,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-09-22,0,0,0,3600
1,2023-09-21,0,0,0,3600
2,2023-09-20,0,0,0,3600
3,2023-09-19,0,0,0,3600
4,2023-09-15,0,0,0,3600
5,2023-09-14,0,0,0,3600
6,2023-09-13,0,0,0,3600
7,2023-09-12,0,0,0,3600
8,2023-09-11,0,0,0,3600
9,2023-09-08,0,0,0,3800
10,2023-09-07,0,0,0,3600
11,2023-09-06,0,0,0,3600
12,2023-09-05,0,0,0,3700
13,2023-09-04,0,0,200,3700
14,2023-09-01,0,0,600,3900
15,2023-08-31,0,0,600,3900
16,2023-08-30,0,0,600,3900
17,2023-08-29,0,0,1500,4000
18,2023-08-28,0,0,1500,4500
19,2023-08-25,0,0,1500,4500
20,2023-08-24,0,0,1700,4500
