,日付,信用売残,信用買残,信用倍率
0,2023-10-06,2383500,13628900,5.72
1,2023-09-29,2667500,12523500,4.69
2,2023-09-22,3282000,10773300,3.28
3,2023-09-15,4022500,7851200,1.95
4,2023-09-08,3762300,8373100,2.23
5,2023-09-01,3913200,7977300,2.04
6,2023-08-25,3311100,10245100,3.09
7,2023-08-18,3280100,10773800,3.28
8,2023-08-10,3632500,10337800,2.85
9,2023-08-04,3980000,10631200,2.67
10,2023-07-28,3689900,9537400,2.58
11,2023-07-21,3598400,10411500,2.89
12,2023-07-14,3335000,11690100,3.51
13,2023-07-07,4114200,11069100,2.69
14,2023-06-30,4191800,12019200,2.87
15,2023-06-23,3620700,14089000,3.89
16,2023-06-16,4703900,12360500,2.63
17,2023-06-09,3073800,9574000,3.11
18,2023-06-02,2848800,10461200,3.67
19,2023-05-26,2057900,13105100,6.37
20,2023-05-19,2145800,12183600,5.68
21,2023-05-12,2044500,14076300,6.88
22,2023-04-28,1139500,19235300,16.88
23,2023-04-21,1351900,21774400,16.11
