,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
166,2023-11-02,3,2812.0,2846.5,2746.5,2760.0,62211400.0,2760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,2023-11-01,2,2703.5,2752.0,2678.5,2712.0,66935200.0,2712.0,0.0,0.0,0.0,0.0,0.0,572000.0,429400.0
168,2023-10-31,1,2590.0,2593.0,2526.0,2590.0,32184100.0,2590.0,0.0,0.0,0.0,0.0,0.0,564400.0,620300.0
169,2023-10-30,0,2593.0,2595.0,2560.5,2574.0,28552500.0,2574.0,0.0,0.0,0.0,0.0,0.0,544700.0,607400.0
170,2023-10-27,4,2595.0,2644.0,2594.5,2638.5,20775500.0,2638.5,2420000.0,13673000.0,5.65,0.0,0.0,513000.0,599000.0
171,2023-10-26,3,2617.5,2628.0,2571.0,2594.5,22969100.0,2594.5,0.0,0.0,0.0,0.0,0.0,503700.0,622600.0
172,2023-10-25,2,2631.0,2664.0,2613.5,2640.0,18828500.0,2640.0,0.0,0.0,0.0,0.0,0.0,523300.0,616200.0
173,2023-10-24,1,2645.0,2648.5,2544.0,2597.5,26740000.0,2597.5,0.0,0.0,0.0,0.0,0.0,534700.0,619500.0
174,2023-10-23,0,2600.0,2631.0,2585.5,2610.0,17852100.0,2610.0,0.0,0.0,0.0,0.0,0.0,536300.0,614000.0
175,2023-10-20,4,2600.5,2642.0,2575.0,2617.0,23366400.0,2617.0,2441700.0,14045800.0,5.75,0.0,0.0,536200.0,641700.0
176,2023-10-19,3,2625.0,2667.0,2623.0,2645.0,18842300.0,2645.0,0.0,0.0,0.0,0.0,0.0,503200.0,448300.0
