,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-10-18,2675.0,2697.0,2661.0,2669.0,18891100,2669.0
1,2023-10-17,2705.0,2719.0,2653.0,2681.0,22766500,2681.0
2,2023-10-16,2650.0,2665.0,2630.5,2660.0,19258100,2660.0
3,2023-10-13,2708.0,2726.0,2677.0,2687.5,24757200,2687.5
4,2023-10-12,2678.0,2740.0,2673.0,2740.0,32321600,2740.0
5,2023-10-11,2650.0,2681.0,2640.0,2651.0,23177900,2651.0
6,2023-10-10,2600.0,2640.5,2595.0,2624.5,27455800,2624.5
7,2023-10-06,2564.5,2604.0,2536.0,2572.0,28521800,2572.0
8,2023-10-05,2528.0,2590.0,2505.5,2590.0,41463500,2590.0
9,2023-10-04,2555.0,2563.0,2471.0,2477.5,46063800,2477.5
10,2023-10-03,2680.0,2687.0,2593.0,2605.0,31775900,2605.0
11,2023-10-02,2700.5,2746.5,2683.5,2687.0,28738800,2687.0
12,2023-09-29,2718.0,2727.5,2675.5,2677.5,33276200,2677.5
13,2023-09-28,2720.0,2746.5,2678.0,2706.0,32137100,2706.0
14,2023-09-27,2700.0,2751.5,2677.0,2748.0,31403100,2748.0
15,2023-09-26,2765.0,2766.5,2707.5,2716.5,26603400,2716.5
16,2023-09-25,2785.0,2789.0,2740.5,2761.5,21522300,2761.5
17,2023-09-22,2749.5,2811.0,2735.0,2788.5,28714900,2788.5
18,2023-09-21,2799.0,2835.0,2775.0,2785.5,25747000,2785.5
19,2023-09-20,2900.0,2911.5,2797.0,2799.0,42976800,2799.0
20,2023-09-19,2806.5,2885.5,2798.0,2880.0,40156000,2880.0
21,2023-09-15,2788.0,2842.0,2780.5,2821.5,49241800,2821.5
22,2023-09-14,2715.5,2757.0,2694.0,2748.0,31358600,2748.0
23,2023-09-13,2657.0,2715.0,2651.0,2707.5,29244700,2707.5
24,2023-09-12,2624.0,2660.0,2619.0,2657.0,21560000,2657.0
