,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-10-02,0,0,489100,435100
1,2023-09-29,0,0,495800,489900
2,2023-09-28,0,0,562900,605000
3,2023-09-27,0,0,612000,444800
4,2023-09-26,0,0,497300,515100
5,2023-09-25,0,0,533700,482100
6,2023-09-22,0,0,524800,507900
7,2023-09-21,0,0,527600,455200
8,2023-09-20,0,0,525200,891400
9,2023-09-19,0.00,0,816300,689500
10,2023-09-15,0.00,0,749700,656300
11,2023-09-14,0.00,1,701200,438000
12,2023-09-13,0.00,4,672600,432800
13,2023-09-12,0.00,0,616200,522400
14,2023-09-11,0,0,570000,576900
15,2023-09-08,0,0,573700,563200
16,2023-09-07,0.00,0,558700,482500
17,2023-09-06,0.00,3,895200,371500
18,2023-09-05,0.00,1,604100,406200
19,2023-09-04,0.00,1,910500,452500
20,2023-09-01,0.00,1,721800,331700
