,日付,信用売残,信用買残,信用倍率
0,2023-10-27,21000,150300,7.16
1,2023-10-20,18400,180100,9.79
2,2023-10-13,13900,142500,10.25
3,2023-10-06,10000,137100,13.71
4,2023-09-29,23500,143600,6.11
5,2023-09-22,23200,127600,5.5
6,2023-09-15,26200,131600,5.02
7,2023-09-08,33400,160200,4.8
8,2023-09-01,30200,163300,5.41
9,2023-08-25,21600,172100,7.97
10,2023-08-18,20400,171900,8.43
11,2023-08-10,27900,194900,6.99
12,2023-08-04,15500,204500,13.19
13,2023-07-28,12200,203400,16.67
14,2023-07-21,10600,175300,16.54
15,2023-07-14,13300,169000,12.71
16,2023-07-07,16500,164700,9.98
17,2023-06-30,18400,171200,9.3
18,2023-06-23,14300,168200,11.76
19,2023-06-16,24800,163900,6.61
20,2023-06-09,23300,176100,7.56
21,2023-06-02,22100,180500,8.17
22,2023-05-26,23400,178200,7.62
23,2023-05-19,25700,184400,7.18
24,2023-05-12,22800,267600,11.74
