,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
167,2023-11-02,3,2522.0,2559.0,2480.0,2480.0,76400.0,2480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,2023-11-01,2,2579.0,2585.0,2522.0,2522.0,89700.0,2522.0,0.0,0.0,0.0,0.0,0.0,9000.0,11200.0
169,2023-10-31,1,2541.0,2560.0,2506.0,2547.0,105700.0,2547.0,0.0,0.0,0.0,0.0,0.0,8900.0,10300.0
170,2023-10-30,0,2585.0,2592.0,2500.0,2528.0,98800.0,2528.0,0.0,0.0,0.0,0.0,0.0,8900.0,11400.0
171,2023-10-27,4,2554.0,2587.0,2524.0,2584.0,95000.0,2584.0,21000.0,150300.0,7.16,0.0,0.0,9100.0,10100.0
172,2023-10-26,3,2548.0,2579.0,2530.0,2554.0,94500.0,2554.0,0.0,0.0,0.0,0.0,0.0,8800.0,11700.0
173,2023-10-25,2,2540.0,2584.0,2537.0,2554.0,157700.0,2554.0,0.0,0.0,0.0,0.0,0.0,8700.0,10900.0
174,2023-10-24,1,2479.0,2536.0,2421.0,2529.0,172700.0,2529.0,0.0,0.0,0.0,0.0,0.0,7500.0,12000.0
175,2023-10-23,0,2428.0,2450.0,2413.0,2443.0,105100.0,2443.0,0.0,0.0,0.0,0.0,0.0,8000.0,11200.0
176,2023-10-20,4,2412.0,2431.0,2366.0,2417.0,126400.0,2417.0,18400.0,180100.0,9.79,0.0,0.0,8300.0,11100.0
177,2023-10-19,3,2450.0,2528.0,2405.0,2431.0,355100.0,2431.0,0.0,0.0,0.0,0.0,0.0,8800.0,10400.0
