,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-11-17,2348,2427,2345,2427,108700,2427.0
1,2023-11-16,2360,2384,2351,2351,63800,2351.0
2,2023-11-15,2416,2416,2327,2370,150300,2370.0
3,2023-11-14,2367,2410,2367,2399,106200,2399.0
4,2023-11-13,2424,2424,2334,2357,262900,2357.0
5,2023-11-10,2494,2498,2438,2491,86100,2491.0
6,2023-11-09,2435,2480,2403,2480,115200,2480.0
7,2023-11-08,2457,2463,2402,2406,80000,2406.0
8,2023-11-07,2497,2502,2455,2457,53600,2457.0
9,2023-11-06,2520,2520,2473,2492,98500,2492.0
10,2023-11-02,2522,2559,2480,2480,76400,2480.0
11,2023-11-01,2579,2585,2522,2522,89700,2522.0
12,2023-10-31,2541,2560,2506,2547,105700,2547.0
13,2023-10-30,2585,2592,2500,2528,98800,2528.0
14,2023-10-27,2554,2587,2524,2584,95000,2584.0
15,2023-10-26,2548,2579,2530,2554,94500,2554.0
16,2023-10-25,2540,2584,2537,2554,157700,2554.0
17,2023-10-24,2479,2536,2421,2529,172700,2529.0
18,2023-10-23,2428,2450,2413,2443,105100,2443.0
19,2023-10-20,2412,2431,2366,2417,126400,2417.0
20,2023-10-19,2450,2528,2405,2431,355100,2431.0
21,2023-10-18,2499,2500,2365,2463,943500,2463.0
22,2023-10-17,2306,2313,2244,2259,56400,2259.0
23,2023-10-16,2306,2330,2260,2272,86000,2272.0
24,2023-10-13,2384,2392,2330,2341,74500,2341.0
