,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
1,2023-11-16,3,45,2360.0,2384.0,2351.0,2351.0,63800.0,2351.0,0.0,0.0,0.0,0.0,0.0,6700.0,9800.0,19.0,1,0.008016877637130802,9.0,5
2,2023-11-15,2,45,2416.0,2416.0,2327.0,2370.0,150300.0,2370.0,0.0,0.0,0.0,0.0,0.0,6500.0,9500.0,29.0,1,0.01208837015423093,46.0,5
3,2023-11-14,1,45,2367.0,2410.0,2367.0,2399.0,106200.0,2399.0,0.0,0.0,0.0,0.0,0.0,7100.0,9800.0,-42.0,0,-0.017819261773440814,-32.0,5
4,2023-11-13,0,45,2424.0,2424.0,2334.0,2357.0,262900.0,2357.0,0.0,0.0,0.0,0.0,0.0,7000.0,9800.0,134.0,1,0.05379365716579687,67.0,5
6,2023-11-09,3,44,2435.0,2480.0,2403.0,2480.0,115200.0,2480.0,0.0,0.0,0.0,0.0,0.0,8500.0,9400.0,-74.0,0,-0.030756442227763924,-45.0,5
7,2023-11-08,2,44,2457.0,2463.0,2402.0,2406.0,80000.0,2406.0,0.0,0.0,0.0,0.0,0.0,8300.0,9600.0,51.0,1,0.020757020757020756,51.0,5
8,2023-11-07,1,44,2497.0,2502.0,2455.0,2457.0,53600.0,2457.0,0.0,0.0,0.0,0.0,0.0,8800.0,9900.0,35.0,1,0.014044943820224719,40.0,5
9,2023-11-06,0,44,2520.0,2520.0,2473.0,2492.0,98500.0,2492.0,0.0,0.0,0.0,0.0,0.0,9500.0,9900.0,-12.0,0,-0.004838709677419355,28.0,5
15,2023-10-26,3,42,2548.0,2579.0,2530.0,2554.0,94500.0,2554.0,0.0,0.0,0.0,0.0,0.0,8800.0,11700.0,0.0,0,0.0,-6.0,5
16,2023-10-25,2,42,2540.0,2584.0,2537.0,2554.0,157700.0,2554.0,0.0,0.0,0.0,0.0,0.0,8700.0,10900.0,-25.0,0,-0.009885330170027679,-14.0,5
17,2023-10-24,1,42,2479.0,2536.0,2421.0,2529.0,172700.0,2529.0,0.0,0.0,0.0,0.0,0.0,7500.0,12000.0,-86.0,0,-0.03520261972984036,-50.0,5
18,2023-10-23,0,42,2428.0,2450.0,2413.0,2443.0,105100.0,2443.0,0.0,0.0,0.0,0.0,0.0,8000.0,11200.0,-26.0,0,-0.01075713694662805,-15.0,5
20,2023-10-19,3,41,2450.0,2528.0,2405.0,2431.0,355100.0,2431.0,0.0,0.0,0.0,0.0,0.0,8800.0,10400.0,32.0,1,0.012992285830288266,19.0,5
21,2023-10-18,2,41,2499.0,2500.0,2365.0,2463.0,943500.0,2463.0,0.0,0.0,0.0,0.0,0.0,9500.0,11600.0,-204.0,0,-0.0903054448871182,36.0,5
22,2023-10-17,1,41,2306.0,2313.0,2244.0,2259.0,56400.0,2259.0,0.0,0.0,0.0,0.0,0.0,9500.0,8800.0,13.0,1,0.005721830985915493,47.0,5
23,2023-10-16,0,41,2306.0,2330.0,2260.0,2272.0,86000.0,2272.0,0.0,0.0,0.0,0.0,0.0,4500.0,9800.0,69.0,1,0.02947458351131995,34.0,5
29,2023-10-05,3,39,2335.0,2386.0,2335.0,2350.0,77900.0,2350.0,0.0,0.0,0.0,0.0,0.0,1100.0,9500.0,-39.0,0,-0.016875811337083515,-15.0,5
30,2023-10-04,2,39,2324.0,2352.0,2284.0,2311.0,157700.0,2311.0,0.0,0.0,0.0,0.0,0.0,1000.0,10900.0,73.0,1,0.030620805369127518,13.0,5
31,2023-10-03,1,39,2444.0,2444.0,2382.0,2384.0,43800.0,2384.0,0.0,0.0,0.0,0.0,0.0,3000.0,10700.0,61.0,1,0.024948875255623722,60.0,5
32,2023-10-02,0,39,2479.0,2523.0,2445.0,2445.0,48300.0,2445.0,0.0,0.0,0.0,0.0,0.0,2900.0,9300.0,55.0,1,0.022,34.0,5
34,2023-09-28,3,38,2556.0,2571.0,2511.0,2530.0,51100.0,2530.0,0.0,0.0,0.0,0.0,0.0,7600.0,8400.0,53.0,1,0.02051877661633759,26.0,5
35,2023-09-27,2,38,2570.0,2594.0,2533.0,2583.0,87700.0,2583.0,0.0,0.0,0.0,0.0,0.0,7600.0,7100.0,10.0,1,0.0038565368299267257,-13.0,5
36,2023-09-26,1,38,2619.0,2619.0,2567.0,2593.0,62800.0,2593.0,0.0,0.0,0.0,0.0,0.0,8100.0,8100.0,27.0,1,0.010305343511450382,26.0,5
37,2023-09-25,0,38,2563.0,2635.0,2554.0,2620.0,61100.0,2620.0,0.0,0.0,0.0,0.0,0.0,8200.0,8100.0,-59.0,0,-0.023037875829754,-57.0,5
43,2023-09-14,3,36,2594.0,2614.0,2573.0,2609.0,52600.0,2609.0,0.0,0.0,0.0,0.0,0.0,9400.0,7100.0,-32.0,0,-0.01241753977493209,-15.0,5
44,2023-09-13,2,36,2630.0,2630.0,2550.0,2577.0,111300.0,2577.0,0.0,0.0,0.0,0.0,0.0,9800.0,7200.0,62.0,1,0.023493747631678667,53.0,5
45,2023-09-12,1,36,2660.0,2671.0,2619.0,2639.0,54700.0,2639.0,0.0,0.0,0.0,0.0,0.0,12600.0,8300.0,5.0,1,0.0018910741301059002,21.0,5
46,2023-09-11,0,36,2645.0,2677.0,2626.0,2644.0,80900.0,2644.0,0.0,0.0,0.0,0.0,0.0,11500.0,7200.0,-4.0,0,-0.0015151515151515152,1.0,5
48,2023-09-07,3,35,2604.0,2647.0,2598.0,2632.0,67900.0,2632.0,0.0,0.0,0.0,0.0,1.0,13300.0,5400.0,3.0,1,0.0011385199240986717,-28.0,5
49,2023-09-06,2,35,2636.0,2660.0,2630.0,2635.0,56000.0,2635.0,0.0,0.0,0.0,0.0,3.0,12700.0,7700.0,17.0,1,0.00641025641025641,1.0,5
50,2023-09-05,1,35,2670.0,2678.0,2630.0,2652.0,73800.0,2652.0,0.0,0.0,0.0,0.0,0.0,11800.0,7500.0,21.0,1,0.007856341189674524,18.0,5
51,2023-09-04,0,35,2630.0,2677.0,2619.0,2673.0,77000.0,2673.0,0.0,0.0,0.0,0.0,0.0,11000.0,6900.0,-23.0,0,-0.008679245283018867,-43.0,5
53,2023-08-31,3,34,2571.0,2613.0,2544.0,2610.0,88100.0,2610.0,0.0,0.0,0.0,0.0,0.0,5400.0,3000.0,-35.0,0,-0.013592233009708738,-39.0,5
54,2023-08-30,2,34,2583.0,2587.0,2568.0,2575.0,62700.0,2575.0,0.0,0.0,0.0,0.0,0.0,6200.0,3000.0,-14.0,0,-0.005466614603670442,8.0,5
55,2023-08-29,1,34,2535.0,2570.0,2521.0,2561.0,82000.0,2561.0,0.0,0.0,0.0,0.0,0.0,5800.0,3000.0,-54.0,0,-0.02153968887116075,-26.0,5
56,2023-08-28,0,34,2458.0,2513.0,2450.0,2507.0,72700.0,2507.0,0.0,0.0,0.0,0.0,0.0,6000.0,3000.0,-61.0,0,-0.024938675388389207,-49.0,5
58,2023-08-24,3,33,2470.0,2470.0,2430.0,2430.0,27400.0,2430.0,0.0,0.0,0.0,0.0,0.0,3400.0,3000.0,39.0,1,0.015795868772782502,40.0,5
59,2023-08-23,2,33,2444.0,2483.0,2434.0,2469.0,33800.0,2469.0,0.0,0.0,0.0,0.0,0.0,4300.0,3000.0,-16.0,0,-0.006522625356706074,-25.0,5
60,2023-08-22,1,33,2410.0,2471.0,2395.0,2453.0,100000.0,2453.0,0.0,0.0,0.0,0.0,0.0,4600.0,3000.0,-45.0,0,-0.018687707641196014,-43.0,5
61,2023-08-21,0,33,2397.0,2418.0,2369.0,2408.0,72000.0,2408.0,0.0,0.0,0.0,0.0,0.0,3100.0,7500.0,-49.0,0,-0.020771513353115726,-11.0,5
63,2023-08-17,3,32,2424.0,2430.0,2353.0,2387.0,119300.0,2387.0,0.0,0.0,0.0,0.0,0.0,3000.0,7600.0,16.0,1,0.006658343736995423,37.0,5
64,2023-08-16,2,32,2367.0,2421.0,2367.0,2403.0,58000.0,2403.0,0.0,0.0,0.0,0.0,0.0,6100.0,7500.0,0.0,0,0.0,-36.0,5
65,2023-08-15,1,32,2353.0,2408.0,2348.0,2403.0,70900.0,2403.0,0.0,0.0,0.0,0.0,0.0,4800.0,7300.0,-58.0,0,-0.024733475479744138,-50.0,5
66,2023-08-14,0,32,2408.0,2429.0,2329.0,2345.0,128100.0,2345.0,0.0,0.0,0.0,0.0,0.0,4000.0,7300.0,63.0,1,0.02616279069767442,63.0,5
72,2023-08-03,3,30,2250.0,2250.0,2204.0,2212.0,64200.0,2212.0,0.0,0.0,0.0,0.0,0.0,6200.0,6200.0,57.0,1,0.0251211987659762,38.0,5
73,2023-08-02,2,30,2237.0,2273.0,2235.0,2269.0,66800.0,2269.0,0.0,0.0,0.0,0.0,0.0,3800.0,4300.0,-19.0,0,-0.008444444444444444,-32.0,5
74,2023-08-01,1,30,2240.0,2256.0,2222.0,2250.0,64100.0,2250.0,0.0,0.0,0.0,0.0,0.0,3200.0,4100.0,-13.0,0,-0.00581135449262405,-10.0,5
75,2023-07-31,0,30,2236.0,2252.0,2221.0,2237.0,72700.0,2237.0,0.0,0.0,0.0,0.0,0.0,2600.0,4200.0,-27.0,0,-0.012217194570135747,-1.0,5
77,2023-07-27,3,29,2156.0,2193.0,2114.0,2189.0,66800.0,2189.0,0.0,0.0,0.0,0.0,0.0,2400.0,3400.0,-35.0,0,-0.016248839368616527,-33.0,5
78,2023-07-26,2,29,2170.0,2170.0,2121.0,2154.0,76300.0,2154.0,0.0,0.0,0.0,0.0,0.0,2400.0,3400.0,18.0,1,0.008287292817679558,16.0,5
79,2023-07-25,1,29,2160.0,2182.0,2155.0,2172.0,52900.0,2172.0,0.0,0.0,0.0,0.0,0.0,2300.0,3400.0,-24.0,0,-0.0111731843575419,-12.0,5
80,2023-07-24,0,29,2134.0,2151.0,2125.0,2148.0,52600.0,2148.0,0.0,0.0,0.0,0.0,0.0,1600.0,2800.0,-34.0,0,-0.01608325449385052,-14.0,5
