,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-11-16,0,0,6700,9800
1,2023-11-15,0,0,6500,9500
2,2023-11-14,0,0,7100,9800
3,2023-11-13,0,0,7000,9800
4,2023-11-10,0,0,8900,9500
5,2023-11-09,0,0,8500,9400
6,2023-11-08,0,0,8300,9600
7,2023-11-07,0,0,8800,9900
8,2023-11-06,0,0,9500,9900
9,2023-11-02,0,0,9600,9800
10,2023-11-01,0,0,9000,11200
11,2023-10-31,0,0,8900,10300
12,2023-10-30,0,0,8900,11400
13,2023-10-27,0,0,9100,10100
14,2023-10-26,0,0,8800,11700
15,2023-10-25,0,0,8700,10900
16,2023-10-24,0,0,7500,12000
17,2023-10-23,0,0,8000,11200
18,2023-10-20,0,0,8300,11100
19,2023-10-19,0,0,8800,10400
20,2023-10-18,0,0,9500,11600
21,2023-10-17,0,0,9500,8800
22,2023-10-16,0,0,4500,9800
