,日付,信用売残,信用買残,信用倍率
0,2023-09-15,1776300,3867000,2.18
1,2023-09-08,1489300,4661100,3.13
2,2023-09-01,1540500,4425600,2.87
3,2023-08-25,1480700,4569000,3.09
4,2023-08-18,1425200,5685500,3.99
5,2023-08-10,1469700,6880800,4.68
6,2023-08-04,1482800,10663900,7.19
7,2023-07-28,1521300,7137300,4.69
8,2023-07-21,1625700,7363700,4.53
9,2023-07-14,1528100,7468600,4.89
10,2023-07-07,1669100,7480100,4.48
11,2023-06-30,1766900,7088600,4.01
12,2023-06-23,1650800,6864900,4.16
13,2023-06-16,1645400,5585900,3.39
14,2023-06-09,1729700,5384400,3.11
15,2023-06-02,1755700,5059400,2.88
16,2023-05-26,1484500,3282200,2.21
17,2023-05-19,1655900,3421100,2.07
18,2023-05-12,1792400,3558300,1.99
19,2023-04-28,1241300,2472400,1.99
20,2023-04-21,1348300,2753900,2.04
21,2023-04-14,1133900,2093900,1.85
22,2023-04-07,1119500,1907600,1.7
23,2023-03-31,1217800,2130200,1.75
