,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
166,2023-11-02,3,1358.5,1373.0,1347.5,1348.0,12187900.0,1348.0,0.0,0.0,0.0,0,0.0,0.0,0.0
167,2023-11-01,2,1339.0,1355.0,1331.5,1339.0,18766900.0,1339.0,0.0,0.0,0.0,0,0.0,1000.0,200100.0
168,2023-10-31,1,1355.0,1357.0,1295.0,1309.0,38795200.0,1309.0,0.0,0.0,0.0,0.00,0.0,417000.0,199700.0
169,2023-10-30,0,1450.0,1450.5,1422.5,1437.0,10024400.0,1437.0,0.0,0.0,0.0,0,0.0,10000.0,132300.0
170,2023-10-27,4,1471.0,1481.0,1458.0,1466.0,7859700.0,1466.0,953500.0,7578000.0,7.95,0,0.0,2000.0,122700.0
171,2023-10-26,3,1465.5,1487.0,1452.5,1461.5,10070900.0,1461.5,0.0,0.0,0.0,0,0.0,25500.0,120900.0
172,2023-10-25,2,1501.0,1516.5,1475.0,1483.0,8719000.0,1483.0,0.0,0.0,0.0,0,0.0,18600.0,119900.0
173,2023-10-24,1,1495.0,1498.5,1453.5,1485.0,8004500.0,1485.0,0.0,0.0,0.0,0,0.0,4300.0,138500.0
174,2023-10-23,0,1465.0,1490.0,1448.5,1474.5,13291500.0,1474.5,0.0,0.0,0.0,0,0.0,15600.0,127900.0
175,2023-10-20,4,1493.0,1497.5,1461.5,1487.5,18793700.0,1487.5,1134500.0,7360100.0,6.49,0,0.0,8500.0,136200.0
176,2023-10-19,3,1540.0,1550.0,1518.0,1525.5,7782300.0,1525.5,0.0,0.0,0.0,0,0.0,8000.0,119400.0
