,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-09-25,1758.5,1781.5,1749.5,1778.0,7173100,1778.0
1,2023-09-22,1713.5,1741.5,1693.0,1731.5,8485800,1731.5
2,2023-09-21,1747.5,1767.5,1722.5,1732.0,7820400,1732.0
3,2023-09-20,1782.0,1808.0,1766.0,1774.0,11094700,1774.0
4,2023-09-19,1778.0,1784.5,1762.5,1784.0,10720500,1784.0
5,2023-09-15,1732.5,1788.0,1729.0,1782.0,19081700,1782.0
6,2023-09-14,1677.0,1713.0,1674.0,1707.5,7878100,1707.5
7,2023-09-13,1689.0,1689.0,1656.5,1663.0,9339100,1663.0
8,2023-09-12,1684.5,1700.5,1667.5,1677.0,6022200,1677.0
9,2023-09-11,1698.5,1702.0,1659.0,1661.5,5790100,1661.5
10,2023-09-08,1703.5,1717.5,1678.0,1681.5,8623500,1681.5
11,2023-09-07,1735.0,1750.0,1721.5,1723.0,7269500,1723.0
12,2023-09-06,1730.5,1735.0,1714.0,1734.0,7728500,1734.0
13,2023-09-05,1734.0,1737.5,1711.0,1728.5,7068900,1728.5
14,2023-09-04,1719.5,1738.5,1695.0,1738.0,8341700,1738.0
15,2023-09-01,1690.5,1740.5,1688.5,1723.0,10458400,1723.0
16,2023-08-31,1669.0,1679.5,1656.0,1679.5,11208500,1679.5
17,2023-08-30,1670.0,1672.0,1656.5,1659.5,5566900,1659.5
18,2023-08-29,1678.0,1680.0,1656.0,1659.0,4637200,1659.0
19,2023-08-28,1660.0,1677.5,1658.5,1672.5,4607500,1672.5
20,2023-08-25,1659.0,1662.5,1647.5,1653.0,5716700,1653.0
21,2023-08-24,1692.0,1709.5,1682.5,1685.0,11715000,1685.0
22,2023-08-23,1590.5,1669.5,1587.5,1664.5,12116800,1664.5
23,2023-08-22,1593.0,1594.0,1575.5,1589.0,3902900,1589.0
24,2023-08-21,1586.0,1589.5,1566.0,1577.0,4692100,1577.0
