,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-10-18,2,41,1586.5,1590.0,1556.5,1572.0,6583000.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2023-10-17,1,41,1595.0,1610.0,1569.5,1585.0,6725400.0,1585.0,0.0,0.0,0.0,0.0,0.0,5800.0,113000.0
2,2023-10-16,0,41,1598.0,1599.0,1560.0,1565.5,8551900.0,1565.5,0.0,0.0,0.0,0.0,0.0,6500.0,112600.0
3,2023-10-13,4,40,1646.0,1658.5,1608.0,1617.0,9218800.0,1617.0,1030200.0,6779900.0,6.58,0.0,0.0,5800.0,110200.0
4,2023-10-12,3,40,1628.0,1654.5,1626.0,1653.5,6984900.0,1653.5,0.0,0.0,0.0,0.0,0.0,28500.0,143400.0
5,2023-10-11,2,40,1621.0,1628.0,1597.5,1612.5,7634800.0,1612.5,0.0,0.0,0.0,0.0,0.0,5800.0,134600.0
6,2023-10-10,1,40,1575.5,1621.0,1570.5,1620.5,10222900.0,1620.5,0.0,0.0,0.0,0.0,0.0,10900.0,142300.0
7,2023-10-06,4,39,1548.0,1555.5,1530.5,1544.5,12848700.0,1544.5,1057000.0,7099000.0,6.72,0.0,0.0,12100.0,157000.0
8,2023-10-05,3,39,1564.0,1588.0,1531.5,1571.5,14659300.0,1571.5,0.0,0.0,0.0,0.0,0.0,12100.0,142500.0
9,2023-10-04,2,39,1613.0,1616.0,1563.0,1569.5,13932400.0,1569.5,0.0,0.0,0.0,0.0,0.0,5800.0,135700.0
10,2023-10-03,1,39,1664.5,1686.0,1651.0,1666.0,10363300.0,1666.0,0.0,0.0,0.0,0.0,0.0,5800.0,114300.0
11,2023-10-02,0,39,1699.5,1707.0,1674.0,1680.0,8027900.0,1680.0,0.0,0.0,0.0,0.0,0.0,5800.0,187400.0
12,2023-09-29,4,38,1708.5,1722.5,1675.0,1682.0,10257600.0,1682.0,1290400.0,5386400.0,4.17,0.0,0.0,5800.0,161200.0
13,2023-09-28,3,38,1730.0,1754.5,1722.5,1736.0,8200500.0,1736.0,0.0,0.0,0.0,0.0,0.0,10200.0,115700.0
14,2023-09-27,2,38,1728.5,1748.5,1714.5,1746.0,8457200.0,1746.0,0.0,0.0,0.0,0.0,0.0,19500.0,155100.0
15,2023-09-26,1,38,1770.0,1773.5,1745.0,1753.0,6659600.0,1753.0,0.0,0.0,0.0,0.0,0.0,28900.0,156100.0
16,2023-09-25,0,38,1758.5,1781.5,1749.5,1778.0,7173100.0,1778.0,0.0,0.0,0.0,0.0,0.0,66400.0,98900.0
17,2023-09-22,4,37,1713.5,1741.5,1693.0,1731.5,8485800.0,1731.5,1589100.0,4440200.0,2.79,0.0,0.0,13000.0,76900.0
18,2023-09-21,3,37,1747.5,1767.5,1722.5,1732.0,7820400.0,1732.0,0.0,0.0,0.0,0.0,0.0,13300.0,96300.0
