,Unnamed: 0,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
0,0,2023-11-02,3,43,1358.5,1373.0,1347.5,1348.0,12187900.0,1348.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-9.0,0,-0.006721433905899925,10.5,4
1,1,2023-11-01,2,43,1339.0,1355.0,1331.5,1339.0,18766900.0,1339.0,0.0,0.0,0.0,0,0.0,1000.0,200100.0,-30.0,0,-0.02291825821237586,0.0,4
2,2,2023-10-31,1,43,1355.0,1357.0,1295.0,1309.0,38795200.0,1309.0,0.0,0.0,0.0,0,0.0,417000.0,199700.0,128.0,1,0.08907446068197634,46.0,4
3,3,2023-10-30,0,43,1450.0,1450.5,1422.5,1437.0,10024400.0,1437.0,0.0,0.0,0.0,0,0.0,10000.0,132300.0,29.0,1,0.019781718963165076,13.0,4
5,5,2023-10-26,3,42,1465.5,1487.0,1452.5,1461.5,10070900.0,1461.5,0.0,0.0,0.0,0,0.0,25500.0,120900.0,21.5,1,0.01449763991908294,4.0,5
6,6,2023-10-25,2,42,1501.0,1516.5,1475.0,1483.0,8719000.0,1483.0,0.0,0.0,0.0,0,0.0,18600.0,119900.0,2.0,1,0.0013468013468013469,18.0,5
7,7,2023-10-24,1,42,1495.0,1498.5,1453.5,1485.0,8004500.0,1485.0,0.0,0.0,0.0,0,0.0,4300.0,138500.0,-10.5,0,-0.007121057985757884,10.0,5
8,8,2023-10-23,0,42,1465.0,1490.0,1448.5,1474.5,13291500.0,1474.5,0.0,0.0,0.0,0,0.0,15600.0,127900.0,13.0,1,0.008739495798319327,-9.5,5
10,10,2023-10-19,3,41,1540.0,1550.0,1518.0,1525.5,7782300.0,1525.5,0.0,0.0,0.0,0,0.0,8000.0,119400.0,46.5,1,0.029580152671755726,14.5,5
11,11,2023-10-18,2,41,1586.5,1590.0,1556.5,1572.0,6583000.0,1572.0,0.0,0.0,0.0,0,0.0,5800.0,109300.0,13.0,1,0.008201892744479496,14.5,5
12,12,2023-10-17,1,41,1595.0,1610.0,1569.5,1585.0,6725400.0,1585.0,0.0,0.0,0.0,0,0.0,5800.0,113000.0,-19.5,0,-0.012456084318109231,10.0,5
13,13,2023-10-16,0,41,1598.0,1599.0,1560.0,1565.5,8551900.0,1565.5,0.0,0.0,0.0,0,0.0,6500.0,112600.0,51.5,1,0.031849103277674706,32.5,5
15,15,2023-10-12,3,40,1628.0,1654.5,1626.0,1653.5,6984900.0,1653.5,0.0,0.0,0.0,0,0.0,28500.0,143400.0,-41.0,0,-0.025426356589147287,-25.5,4
16,16,2023-10-11,2,40,1621.0,1628.0,1597.5,1612.5,7634800.0,1612.5,0.0,0.0,0.0,0,0.0,5800.0,134600.0,8.0,1,0.004936747917309472,8.5,4
17,17,2023-10-10,1,40,1575.5,1621.0,1570.5,1620.5,10222900.0,1620.5,0.0,0.0,0.0,0,0.0,10900.0,142300.0,-76.0,0,-0.04920686306247977,-45.0,4
19,19,2023-10-05,3,39,1564.0,1588.0,1531.5,1571.5,14659300.0,1571.5,0.0,0.0,0.0,0,0.0,12100.0,142500.0,-2.0,0,-0.0012742911755336094,-7.5,5
20,20,2023-10-04,2,39,1613.0,1616.0,1563.0,1569.5,13932400.0,1569.5,0.0,0.0,0.0,0,0.0,5800.0,135700.0,96.5,1,0.05792316926770708,43.5,5
21,21,2023-10-03,1,39,1664.5,1686.0,1651.0,1666.0,10363300.0,1666.0,0.0,0.0,0.0,0,0.0,5800.0,114300.0,14.0,1,0.008333333333333333,-1.5,5
22,22,2023-10-02,0,39,1699.5,1707.0,1674.0,1680.0,8027900.0,1680.0,0.0,0.0,0.0,0,0.0,5800.0,187400.0,2.0,1,0.0011890606420927466,19.5,5
24,24,2023-09-28,3,38,1730.0,1754.5,1722.5,1736.0,8200500.0,1736.0,0.0,0.0,0.0,0,0.0,10200.0,115700.0,10.0,1,0.0057273768613974796,-6.0,5
25,25,2023-09-27,2,38,1728.5,1748.5,1714.5,1746.0,8457200.0,1746.0,0.0,0.0,0.0,0,0.0,19500.0,155100.0,7.0,1,0.003993154592127781,-17.5,5
26,26,2023-09-26,1,38,1770.0,1773.5,1745.0,1753.0,6659600.0,1753.0,0.0,0.0,0.0,0,0.0,28900.0,156100.0,25.0,1,0.0140607424071991,17.0,5
27,27,2023-09-25,0,38,1758.5,1781.5,1749.5,1778.0,7173100.0,1778.0,0.0,0.0,0.0,0,0.0,66400.0,98900.0,-46.5,0,-0.026855327750505344,-19.5,5
29,29,2023-09-21,3,37,1747.5,1767.5,1722.5,1732.0,7820400.0,1732.0,0.0,0.0,0.0,0,0.0,13300.0,96300.0,42.0,1,0.02367531003382187,15.5,4
