,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-11-01,0,0,1000,200100
1,2023-10-31,0.00,0,417000,199700
2,2023-10-30,0,0,10000,132300
3,2023-10-27,0,0,2000,122700
4,2023-10-26,0,0,25500,120900
5,2023-10-25,0,0,18600,119900
6,2023-10-24,0,0,4300,138500
7,2023-10-23,0,0,15600,127900
8,2023-10-20,0,0,8500,136200
9,2023-10-19,0,0,8000,119400
10,2023-10-18,0,0,5800,109300
11,2023-10-17,0,0,5800,113000
12,2023-10-16,0,0,6500,112600
13,2023-10-13,0,0,5800,110200
14,2023-10-12,0,0,28500,143400
15,2023-10-11,0,0,5800,134600
16,2023-10-10,0,0,10900,142300
17,2023-10-06,0,0,12100,157000
18,2023-10-05,0,0,12100,142500
19,2023-10-04,0,0,5800,135700
20,2023-10-03,0,0,5800,114300
