,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
166,2023-11-02,3,631.0,631.0,621.0,628.0,323800.0,628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,2023-11-01,2,627.0,633.0,619.0,628.0,421200.0,628.0,0.0,0.0,0.0,0.0,0.0,400.0,16800.0
168,2023-10-31,1,610.0,613.0,604.0,612.0,528300.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,16500.0
169,2023-10-30,0,622.0,625.0,607.0,612.0,409300.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,15800.0
170,2023-10-27,4,622.0,628.0,622.0,626.0,290300.0,626.0,14500.0,1193200.0,82.29,0.0,0.0,1000.0,13900.0
171,2023-10-26,3,624.0,626.0,617.0,618.0,251700.0,618.0,0.0,0.0,0.0,0.0,0.0,0.0,18300.0
172,2023-10-25,2,624.0,630.0,623.0,626.0,320400.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0
173,2023-10-24,1,626.0,627.0,612.0,620.0,579200.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,14700.0
174,2023-10-23,0,629.0,631.0,626.0,626.0,321000.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,12300.0
175,2023-10-20,4,632.0,634.0,626.0,630.0,359900.0,630.0,34700.0,1220500.0,35.17,0.0,0.0,0.0,14000.0
176,2023-10-19,3,637.0,639.0,632.0,634.0,417900.0,634.0,0.0,0.0,0.0,0.0,0.0,2000.0,17100.0
