,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-11-02,631,631,621,628,323800,628.0
1,2023-11-01,627,633,619,628,421200,628.0
2,2023-10-31,610,613,604,612,528300,612.0
3,2023-10-30,622,625,607,612,409300,612.0
4,2023-10-27,622,628,622,626,290300,626.0
5,2023-10-26,624,626,617,618,251700,618.0
6,2023-10-25,624,630,623,626,320400,626.0
7,2023-10-24,626,627,612,620,579200,620.0
8,2023-10-23,629,631,626,626,321000,626.0
9,2023-10-20,632,634,626,630,359900,630.0
10,2023-10-19,637,639,632,634,417900,634.0
11,2023-10-18,645,647,637,640,417400,640.0
12,2023-10-17,651,653,643,647,303000,647.0
13,2023-10-16,659,661,645,646,323300,646.0
14,2023-10-13,663,664,653,655,266300,655.0
15,2023-10-12,673,673,664,665,245800,665.0
16,2023-10-11,671,675,668,672,190700,672.0
17,2023-10-10,666,675,666,675,237300,675.0
18,2023-10-06,653,662,652,659,164900,659.0
19,2023-10-05,645,653,644,650,380100,650.0
20,2023-10-04,659,659,641,644,727800,644.0
21,2023-10-03,671,671,663,663,492100,663.0
22,2023-10-02,680,686,671,671,476800,671.0
23,2023-09-29,684,684,671,672,592900,672.0
24,2023-09-28,686,689,678,683,927700,683.0
