,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
1,2023-11-16,3,45,615.0,619.0,613.0,615.0,183400.0,615.0,0.0,0.0,0.0,0.0,0.0,0.0,13600.0,-1.0,0,-0.0016286644951140066,0.0,5
2,2023-11-15,2,45,611.0,617.0,611.0,614.0,346700.0,614.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-3.0,0,-0.004909983633387889,-3.0,5
3,2023-11-14,1,45,613.0,614.0,609.0,611.0,253200.0,611.0,0.0,0.0,0.0,0.0,0.0,0.0,23500.0,2.0,1,0.0032626427406199023,2.0,5
4,2023-11-13,0,45,619.0,620.0,611.0,613.0,257400.0,613.0,0.0,0.0,0.0,0.0,0.0,0.0,23500.0,6.0,1,0.009693053311793215,6.0,5
6,2023-11-09,3,44,618.0,622.0,612.0,620.0,334300.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,21800.0,0.0,0,0.0,-2.0,5
7,2023-11-08,2,44,623.0,625.0,616.0,620.0,356400.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,20500.0,3.0,1,0.004815409309791332,3.0,5
8,2023-11-07,1,44,626.0,629.0,622.0,623.0,199800.0,623.0,0.0,0.0,0.0,0.0,0.0,0.0,18300.0,4.0,1,0.006379585326953748,3.0,5
9,2023-11-06,0,44,633.0,633.0,626.0,627.0,303300.0,627.0,0.0,0.0,0.0,0.0,0.0,0.0,17600.0,1.0,1,0.0015923566878980893,6.0,5
15,2023-10-26,3,42,624.0,626.0,617.0,618.0,251700.0,618.0,0.0,0.0,0.0,0.0,0.0,0.0,18300.0,8.0,1,0.012779552715654952,6.0,5
16,2023-10-25,2,42,624.0,630.0,623.0,626.0,320400.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-6.0,0,-0.00967741935483871,-2.0,5
17,2023-10-24,1,42,626.0,627.0,612.0,620.0,579200.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,14700.0,6.0,1,0.009584664536741214,6.0,5
18,2023-10-23,0,42,629.0,631.0,626.0,626.0,321000.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,12300.0,4.0,1,0.006349206349206349,3.0,5
20,2023-10-19,3,41,637.0,639.0,632.0,634.0,417900.0,634.0,0.0,0.0,0.0,0.0,0.0,2000.0,17100.0,6.0,1,0.009375,3.0,5
21,2023-10-18,2,41,645.0,647.0,637.0,640.0,417400.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,26900.0,7.0,1,0.010819165378670788,5.0,5
22,2023-10-17,1,41,651.0,653.0,643.0,647.0,303000.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,17700.0,-1.0,0,-0.0015479876160990713,4.0,5
23,2023-10-16,0,41,659.0,661.0,645.0,646.0,323300.0,646.0,0.0,0.0,0.0,0.0,0.0,0.0,17100.0,9.0,1,0.013740458015267175,13.0,5
29,2023-10-05,3,39,645.0,653.0,644.0,650.0,380100.0,650.0,0.0,0.0,0.0,0.0,0.0,100.0,12700.0,-6.0,0,-0.009316770186335404,-5.0,5
30,2023-10-04,2,39,659.0,659.0,641.0,644.0,727800.0,644.0,0.0,0.0,0.0,0.0,0.0,5200.0,11200.0,19.0,1,0.02865761689291101,15.0,5
31,2023-10-03,1,39,671.0,671.0,663.0,663.0,492100.0,663.0,0.0,0.0,0.0,0.0,0.0,0.0,23000.0,8.0,1,0.011922503725782414,8.0,5
32,2023-10-02,0,39,680.0,686.0,671.0,671.0,476800.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,17100.0,1.0,1,0.001488095238095238,9.0,5
34,2023-09-28,3,38,686.0,689.0,678.0,683.0,927700.0,683.0,0.0,0.0,0.0,0.0,0.0,1800.0,80300.0,23.0,1,0.032577903682719546,3.0,5
35,2023-09-27,2,38,704.0,708.0,695.0,706.0,1209000.0,706.0,0.0,0.0,0.0,0.75,3.0,192100.0,3500.0,6.0,1,0.008426966292134831,-2.0,5
36,2023-09-26,1,38,723.0,723.0,712.0,712.0,600100.0,712.0,0.0,0.0,0.0,0.0,0.0,2200.0,4800.0,14.0,1,0.01928374655647383,11.0,5
37,2023-09-25,0,38,719.0,727.0,719.0,726.0,590100.0,726.0,0.0,0.0,0.0,0.0,0.0,400.0,10500.0,-9.0,0,-0.012552301255230125,-7.0,5
43,2023-09-14,3,36,755.0,757.0,753.0,753.0,273500.0,753.0,0.0,0.0,0.0,0.0,0.0,3000.0,11800.0,2.0,1,0.0026490066225165563,2.0,5
44,2023-09-13,2,36,756.0,756.0,751.0,755.0,201300.0,755.0,0.0,0.0,0.0,0.0,0.0,1900.0,11900.0,0.0,0,0.0,1.0,5
45,2023-09-12,1,36,750.0,756.0,750.0,755.0,258400.0,755.0,0.0,0.0,0.0,0.0,0.0,1900.0,11600.0,0.0,0,0.0,-5.0,5
46,2023-09-11,0,36,755.0,764.0,751.0,755.0,295400.0,755.0,0.0,0.0,0.0,0.0,0.0,1000.0,11400.0,-9.0,0,-0.012064343163538873,0.0,5
48,2023-09-07,3,35,743.0,757.0,742.0,754.0,331000.0,754.0,0.0,0.0,0.0,0.0,0.0,700.0,11300.0,-10.0,0,-0.013440860215053764,-11.0,5
49,2023-09-06,2,35,746.0,747.0,741.0,744.0,175500.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,12400.0,2.0,1,0.002680965147453083,2.0,5
50,2023-09-05,1,35,747.0,747.0,741.0,746.0,259000.0,746.0,0.0,0.0,0.0,0.0,0.0,500.0,12700.0,0.0,0,0.0,1.0,5
51,2023-09-04,0,35,734.0,746.0,733.0,746.0,280100.0,746.0,0.0,0.0,0.0,0.0,0.0,500.0,7600.0,-16.0,0,-0.021917808219178082,-12.0,5
53,2023-08-31,3,34,724.0,730.0,722.0,727.0,171500.0,727.0,0.0,0.0,0.0,0.0,0.0,400.0,7700.0,-6.0,0,-0.008321775312066574,-3.0,5
