,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-10-02,0,0,0,17100
1,2023-09-29,0,0,1000,15400
2,2023-09-28,0,0,1800,80300
3,2023-09-27,0.75,3,192100,3500
4,2023-09-26,0,0,2200,4800
5,2023-09-25,0,0,400,10500
6,2023-09-22,0,0,0,3500
7,2023-09-21,0,0,300,4100
8,2023-09-20,0,0,2200,4600
9,2023-09-19,0.00,0,4000,4000
10,2023-09-15,0,0,4800,11900
11,2023-09-14,0,0,3000,11800
12,2023-09-13,0,0,1900,11900
13,2023-09-12,0,0,1900,11600
14,2023-09-11,0,0,1000,11400
15,2023-09-08,0,0,1000,11400
16,2023-09-07,0,0,700,11300
17,2023-09-06,0,0,0,12400
18,2023-09-05,0,0,500,12700
19,2023-09-04,0,0,500,7600
20,2023-09-01,0,0,400,7800
