,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残,_merge
0,2023-11-02,3,43,188.0,189.0,183.0,185.0,64200.0,185.0,0.0,0.0,0.0,0.0,0.0,0,0,188.0,189.0,183.0,185.0,64200.0,185.0,0.0,0.0,0.0,0.0,0.0,0,0,both
1,2023-11-01,2,43,186.0,189.0,183.0,189.0,80500.0,189.0,0.0,0.0,0.0,0.0,0.0,0,0,186.0,189.0,183.0,189.0,80500.0,189.0,0.0,0.0,0.0,0.0,0.0,0,0,both
2,2023-10-31,1,43,182.0,186.0,176.0,185.0,77200.0,185.0,0.0,0.0,0.0,0.0,0.0,0,0,182.0,186.0,176.0,185.0,77200.0,185.0,0.0,0.0,0.0,0.0,0.0,0,0,both
3,2023-10-30,0,43,188.0,189.0,181.0,181.0,145100.0,181.0,0.0,0.0,0.0,0.0,0.0,0,0,188.0,189.0,181.0,181.0,145100.0,181.0,0.0,0.0,0.0,0.0,0.0,0,0,both
4,2023-10-27,4,42,187.0,192.0,186.0,189.0,73400.0,189.0,400.0,85200.0,213.0,0.0,0.0,0,0,187.0,192.0,186.0,189.0,73400.0,189.0,400.0,85200.0,213.0,0.0,0.0,0,0,both
5,2023-10-26,3,42,191.0,192.0,185.0,187.0,125500.0,187.0,0.0,0.0,0.0,0.0,0.0,0,0,191.0,192.0,185.0,187.0,125500.0,187.0,0.0,0.0,0.0,0.0,0.0,0,0,both
6,2023-10-25,2,42,197.0,197.0,190.0,191.0,111800.0,191.0,0.0,0.0,0.0,0.0,0.0,0,0,197.0,197.0,190.0,191.0,111800.0,191.0,0.0,0.0,0.0,0.0,0.0,0,0,both
7,2023-10-24,1,42,197.0,197.0,188.0,197.0,137700.0,197.0,0.0,0.0,0.0,0.0,0.0,0,0,197.0,197.0,188.0,197.0,137700.0,197.0,0.0,0.0,0.0,0.0,0.0,0,0,both
8,2023-10-23,0,42,203.0,203.0,195.0,196.0,118900.0,196.0,0.0,0.0,0.0,0.0,0.0,0,0,203.0,203.0,195.0,196.0,118900.0,196.0,0.0,0.0,0.0,0.0,0.0,0,0,both
9,2023-10-20,4,41,206.0,206.0,197.0,203.0,127000.0,203.0,400.0,78000.0,195.0,0.0,0.0,0,0,206.0,206.0,197.0,203.0,127000.0,203.0,400.0,78000.0,195.0,0.0,0.0,0,0,both
10,2023-10-19,3,41,211.0,212.0,206.0,206.0,83600.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0,211.0,212.0,206.0,206.0,83600.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0,both
11,2023-10-18,2,41,208.0,212.0,204.0,210.0,103000.0,210.0,0.0,0.0,0.0,0.0,0.0,0,0,208.0,212.0,204.0,210.0,103000.0,210.0,0.0,0.0,0.0,0.0,0.0,0,0,both
12,2023-10-17,1,41,209.0,211.0,207.0,208.0,39300.0,208.0,0.0,0.0,0.0,0.0,0.0,0,0,209.0,211.0,207.0,208.0,39300.0,208.0,0.0,0.0,0.0,0.0,0.0,0,0,both
13,2023-10-16,0,41,207.0,213.0,204.0,208.0,102700.0,208.0,0.0,0.0,0.0,0.0,0.0,0,0,207.0,213.0,204.0,208.0,102700.0,208.0,0.0,0.0,0.0,0.0,0.0,0,0,both
14,2023-10-13,4,40,214.0,216.0,209.0,212.0,131300.0,212.0,400.0,119200.0,298.0,0.0,0.0,0,0,214.0,216.0,209.0,212.0,131300.0,212.0,400.0,119200.0,298.0,0.0,0.0,0,0,both
15,2023-10-12,3,40,224.0,224.0,214.0,215.0,179700.0,215.0,0.0,0.0,0.0,0.0,0.0,0,0,224.0,224.0,214.0,215.0,179700.0,215.0,0.0,0.0,0.0,0.0,0.0,0,0,both
16,2023-10-11,2,40,233.0,243.0,209.0,219.0,513300.0,219.0,0.0,0.0,0.0,0.0,0.0,0,0,233.0,243.0,209.0,219.0,513300.0,219.0,0.0,0.0,0.0,0.0,0.0,0,0,both
17,2023-10-10,1,40,227.0,232.0,221.0,232.0,129800.0,232.0,0.0,0.0,0.0,0.0,0.0,0,0,227.0,232.0,221.0,232.0,129800.0,232.0,0.0,0.0,0.0,0.0,0.0,0,0,both
18,2023-10-06,4,39,218.0,226.0,217.0,224.0,63200.0,224.0,400.0,68300.0,170.75,0.0,0.0,0,0,218.0,226.0,217.0,224.0,63200.0,224.0,400.0,68300.0,170.75,0.0,0.0,0,0,both
19,2023-10-05,3,39,217.0,218.0,213.0,217.0,37500.0,217.0,0.0,0.0,0.0,0.0,0.0,0,0,217.0,218.0,213.0,217.0,37500.0,217.0,0.0,0.0,0.0,0.0,0.0,0,0,both
20,2023-10-04,2,39,219.0,219.0,212.0,213.0,62600.0,213.0,0.0,0.0,0.0,0.0,0.0,0,0,219.0,219.0,212.0,213.0,62600.0,213.0,0.0,0.0,0.0,0.0,0.0,0,0,both
21,2023-10-03,1,39,224.0,234.0,220.0,224.0,142400.0,224.0,0.0,0.0,0.0,0.0,0.0,0,0,224.0,234.0,220.0,224.0,142400.0,224.0,0.0,0.0,0.0,0.0,0.0,0,0,both
22,2023-10-02,0,39,230.0,238.0,222.0,222.0,93900.0,222.0,0.0,0.0,0.0,0.0,0.0,0,0,230.0,238.0,222.0,222.0,93900.0,222.0,0.0,0.0,0.0,0.0,0.0,0,0,both
23,2023-09-29,4,38,238.0,241.0,228.0,228.0,111000.0,228.0,400.0,71900.0,179.75,0.0,0.0,0,0,238.0,241.0,228.0,228.0,111000.0,228.0,400.0,71900.0,179.75,0.0,0.0,0,0,both
24,2023-09-28,3,38,238.0,243.0,234.0,237.0,82600.0,237.0,0.0,0.0,0.0,0.0,0.0,0,0,238.0,243.0,234.0,237.0,82600.0,237.0,0.0,0.0,0.0,0.0,0.0,0,0,both
25,2023-09-27,2,38,236.0,251.0,234.0,238.0,283300.0,238.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
26,2023-09-26,1,38,236.0,280.0,235.0,239.0,974200.0,239.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
27,2023-09-25,0,38,232.0,242.0,232.0,236.0,74700.0,236.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
28,2023-09-22,4,37,225.0,237.0,225.0,232.0,117500.0,232.0,400.0,56900.0,142.25,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,56900.0,142.25,0.0,0.0,0,0,both
29,2023-09-21,3,37,222.0,231.0,219.0,228.0,295800.0,228.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
30,2023-09-20,2,37,222.0,224.0,219.0,222.0,39200.0,222.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
31,2023-09-19,1,37,228.0,229.0,222.0,224.0,65500.0,224.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
32,2023-09-15,4,36,231.0,231.0,222.0,227.0,70400.0,227.0,400.0,71200.0,178.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,71200.0,178.0,0.0,0.0,0,0,both
33,2023-09-14,3,36,224.0,229.0,224.0,229.0,34900.0,229.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
34,2023-09-13,2,36,232.0,232.0,222.0,222.0,58700.0,222.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
35,2023-09-12,1,36,234.0,234.0,224.0,230.0,180500.0,230.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
36,2023-09-11,0,36,224.0,239.0,222.0,234.0,215800.0,234.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
37,2023-09-08,4,35,227.0,229.0,208.0,220.0,84100.0,220.0,400.0,113600.0,284.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,113600.0,284.0,0.0,0.0,0,0,both
38,2023-09-07,3,35,221.0,233.0,221.0,228.0,127400.0,228.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
39,2023-09-06,2,35,225.0,225.0,221.0,223.0,71300.0,223.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
40,2023-09-05,1,35,227.0,229.0,215.0,225.0,146000.0,225.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
41,2023-09-04,0,35,215.0,216.0,212.0,213.0,46200.0,213.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
42,2023-09-01,4,34,213.0,215.0,211.0,213.0,45000.0,213.0,400.0,143400.0,358.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,143400.0,358.5,0.0,0.0,0,0,both
43,2023-08-31,3,34,208.0,213.0,208.0,213.0,49700.0,213.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
44,2023-08-30,2,34,211.0,212.0,209.0,209.0,31800.0,209.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
45,2023-08-29,1,34,209.0,213.0,207.0,210.0,63800.0,210.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
46,2023-08-28,0,34,204.0,208.0,204.0,205.0,18600.0,205.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
47,2023-08-25,4,33,206.0,211.0,203.0,204.0,92800.0,204.0,400.0,147400.0,368.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,147400.0,368.5,0.0,0.0,0,0,both
48,2023-08-24,3,33,214.0,214.0,207.0,207.0,87700.0,207.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
49,2023-08-23,2,33,214.0,215.0,210.0,211.0,34000.0,211.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
50,2023-08-22,1,33,211.0,214.0,209.0,211.0,16600.0,211.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
51,2023-08-21,0,33,207.0,216.0,207.0,211.0,74000.0,211.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
52,2023-08-18,4,32,205.0,212.0,205.0,207.0,36600.0,207.0,400.0,150300.0,375.75,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,150300.0,375.75,0.0,0.0,0,0,both
53,2023-08-17,3,32,207.0,212.0,205.0,209.0,47100.0,209.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
54,2023-08-16,2,32,210.0,211.0,207.0,211.0,35900.0,211.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
55,2023-08-15,1,32,213.0,213.0,207.0,212.0,55700.0,212.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
56,2023-08-14,0,32,215.0,220.0,210.0,213.0,65400.0,213.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
57,2023-08-10,3,31,208.0,214.0,205.0,212.0,60200.0,212.0,400.0,143800.0,359.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,143800.0,359.5,0.0,0.0,0,0,both
58,2023-08-09,2,31,201.0,210.0,201.0,208.0,58400.0,208.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
59,2023-08-08,1,31,204.0,205.0,201.0,201.0,39600.0,201.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
60,2023-08-07,0,31,210.0,210.0,202.0,204.0,68600.0,204.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
61,2023-08-04,4,30,206.0,209.0,202.0,209.0,124300.0,209.0,400.0,137000.0,342.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,137000.0,342.5,0.0,0.0,0,0,both
62,2023-08-03,3,30,211.0,211.0,206.0,207.0,85100.0,207.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
63,2023-08-02,2,30,216.0,217.0,212.0,212.0,82600.0,212.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
64,2023-08-01,1,30,217.0,221.0,214.0,218.0,66100.0,218.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
65,2023-07-31,0,30,222.0,230.0,215.0,216.0,190600.0,216.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
66,2023-07-28,4,29,224.0,225.0,214.0,215.0,150300.0,215.0,400.0,89700.0,224.25,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,89700.0,224.25,0.0,0.0,0,0,both
67,2023-07-27,3,29,221.0,226.0,221.0,224.0,78100.0,224.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,left_only
