,日付,信用売残,信用買残,信用倍率
0,2023-11-10,400,79000,197.5
1,2023-11-02,400,114300,285.75
2,2023-10-27,400,85200,213.0
3,2023-10-20,400,78000,195.0
4,2023-10-13,400,119200,298.0
5,2023-10-06,400,68300,170.75
6,2023-09-29,400,71900,179.75
7,2023-09-22,400,56900,142.25
8,2023-09-15,400,71200,178.0
9,2023-09-08,400,113600,284.0
10,2023-09-01,400,143400,358.5
11,2023-08-25,400,147400,368.5
12,2023-08-18,400,150300,375.75
13,2023-08-10,400,143800,359.5
14,2023-08-04,400,137000,342.5
15,2023-07-28,400,89700,224.25
16,2023-07-21,400,75600,189.0
17,2023-07-14,400,78900,197.25
18,2023-07-07,2000,73100,36.55
19,2023-06-30,1000,122100,122.1
20,2023-06-23,1000,101200,101.2
21,2023-06-16,1000,89100,89.1
22,2023-06-09,1000,81200,81.2
23,2023-06-02,1000,64500,64.5
24,2023-05-26,1000,121700,121.7
25,2023-05-19,1000,50500,50.5
