,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
167,2023-11-02,3,188.0,189.0,183.0,185.0,64200.0,185.0,0.0,0.0,0.0,0.0,0.0,0,0
168,2023-11-01,2,186.0,189.0,183.0,189.0,80500.0,189.0,0.0,0.0,0.0,0.0,0.0,0,0
169,2023-10-31,1,182.0,186.0,176.0,185.0,77200.0,185.0,0.0,0.0,0.0,0.0,0.0,0,0
170,2023-10-30,0,188.0,189.0,181.0,181.0,145100.0,181.0,0.0,0.0,0.0,0.0,0.0,0,0
171,2023-10-27,4,187.0,192.0,186.0,189.0,73400.0,189.0,400.0,85200.0,213.0,0.0,0.0,0,0
172,2023-10-26,3,191.0,192.0,185.0,187.0,125500.0,187.0,0.0,0.0,0.0,0.0,0.0,0,0
173,2023-10-25,2,197.0,197.0,190.0,191.0,111800.0,191.0,0.0,0.0,0.0,0.0,0.0,0,0
174,2023-10-24,1,197.0,197.0,188.0,197.0,137700.0,197.0,0.0,0.0,0.0,0.0,0.0,0,0
175,2023-10-23,0,203.0,203.0,195.0,196.0,118900.0,196.0,0.0,0.0,0.0,0.0,0.0,0,0
176,2023-10-20,4,206.0,206.0,197.0,203.0,127000.0,203.0,400.0,78000.0,195.0,0.0,0.0,0,0
177,2023-10-19,3,211.0,212.0,206.0,206.0,83600.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0
