,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-09-25,232,242,232,236,74700,236.0
1,2023-09-22,225,237,225,232,117500,232.0
2,2023-09-21,222,231,219,228,295800,228.0
3,2023-09-20,222,224,219,222,39200,222.0
4,2023-09-19,228,229,222,224,65500,224.0
5,2023-09-15,231,231,222,227,70400,227.0
6,2023-09-14,224,229,224,229,34900,229.0
7,2023-09-13,232,232,222,222,58700,222.0
8,2023-09-12,234,234,224,230,180500,230.0
9,2023-09-11,224,239,222,234,215800,234.0
10,2023-09-08,227,229,208,220,84100,220.0
11,2023-09-07,221,233,221,228,127400,228.0
12,2023-09-06,225,225,221,223,71300,223.0
13,2023-09-05,227,229,215,225,146000,225.0
14,2023-09-04,215,216,212,213,46200,213.0
15,2023-09-01,213,215,211,213,45000,213.0
16,2023-08-31,208,213,208,213,49700,213.0
17,2023-08-30,211,212,209,209,31800,209.0
18,2023-08-29,209,213,207,210,63800,210.0
19,2023-08-28,204,208,204,205,18600,205.0
20,2023-08-25,206,211,203,204,92800,204.0
21,2023-08-24,214,214,207,207,87700,207.0
22,2023-08-23,214,215,210,211,34000,211.0
23,2023-08-22,211,214,209,211,16600,211.0
24,2023-08-21,207,216,207,211,74000,211.0
