,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残,_merge
0,2023-10-17,1.0,41.0,1620.0,1623.0,1577.0,1594.5,3970800.0,1594.5,0.0,0.0,0.0,0.0,0.0,28700.0,108100.0,1620.0,1623.0,1577.0,1594.5,3970800.0,1594.5,0.0,0.0,0.0,0,0,28700.0,108100.0,both
1,2023-10-16,0.0,41.0,1600.0,1605.0,1574.5,1591.0,3647800.0,1591.0,0.0,0.0,0.0,0.0,0.0,54500.0,106200.0,1600.0,1605.0,1574.5,1591.0,3647800.0,1591.0,0.0,0.0,0.0,0,0,54500.0,106200.0,both
2,2023-10-13,4.0,40.0,1612.0,1649.5,1597.5,1605.0,5258600.0,1605.0,775100.0,3933000.0,5.07,0.0,0.0,52600.0,107200.0,1612.0,1649.5,1597.5,1605.0,5258600.0,1605.0,775100.0,3933000.0,5.07,0,0,52600.0,107200.0,both
3,2023-10-12,3.0,40.0,1617.0,1639.0,1612.0,1636.5,4512700.0,1636.5,0.0,0.0,0.0,0.0,0.0,74100.0,123300.0,1617.0,1639.0,1612.0,1636.5,4512700.0,1636.5,0.0,0.0,0.0,0,0,74100.0,123300.0,both
4,2023-10-11,2.0,40.0,1571.0,1614.0,1568.0,1594.0,5661700.0,1594.0,0.0,0.0,0.0,0.0,0.0,46200.0,128600.0,1571.0,1614.0,1568.0,1594.0,5661700.0,1594.0,0.0,0.0,0.0,0,0,46200.0,128600.0,both
5,2023-10-10,1.0,40.0,1538.5,1570.0,1528.5,1565.5,4468600.0,1565.5,0.0,0.0,0.0,0.0,0.0,68300.0,107600.0,1538.5,1570.0,1528.5,1565.5,4468600.0,1565.5,0.0,0.0,0.0,0,0,68300.0,107600.0,both
6,2023-10-06,4.0,39.0,1510.0,1532.5,1493.5,1520.5,5336200.0,1520.5,740600.0,3636200.0,4.91,0.0,0.0,30900.0,107300.0,1510.0,1532.5,1493.5,1520.5,5336200.0,1520.5,740600.0,3636200.0,4.91,0,0,30900.0,107300.0,both
7,2023-10-05,3.0,39.0,1545.0,1548.5,1506.5,1522.0,6112200.0,1522.0,0.0,0.0,0.0,0.0,0.0,47200.0,95300.0,1545.0,1548.5,1506.5,1522.0,6112200.0,1522.0,0.0,0.0,0.0,0,0,47200.0,95300.0,both
8,2023-10-04,2.0,39.0,1565.0,1578.5,1490.0,1494.0,10283800.0,1494.0,0.0,0.0,0.0,0.0,0.0,37400.0,96400.0,1565.0,1578.5,1490.0,1494.0,10283800.0,1494.0,0.0,0.0,0.0,0,0,37400.0,96400.0,both
9,2023-10-03,1.0,39.0,1697.0,1697.0,1600.5,1605.0,7281800.0,1605.0,0.0,0.0,0.0,0.0,0.0,82700.0,133400.0,1697.0,1697.0,1600.5,1605.0,7281800.0,1605.0,0.0,0.0,0.0,0,0,82700.0,133400.0,both
10,2023-10-02,0.0,39.0,1724.5,1738.5,1706.0,1707.5,4585700.0,1707.5,0.0,0.0,0.0,0.0,0.0,100300.0,89300.0,1724.5,1738.5,1706.0,1707.5,4585700.0,1707.5,0.0,0.0,0.0,0.00,0,100300.0,89300.0,both
11,2023-09-29,4.0,38.0,1750.0,1763.5,1674.0,1696.5,7830500.0,1696.5,1058500.0,2561900.0,2.42,0.0,0.0,90300.0,82300.0,1750.0,1763.5,1674.0,1696.5,7830500.0,1696.5,1058500.0,2561900.0,2.42,0,0,90300.0,82300.0,both
12,2023-09-28,3.0,38.0,1769.5,1793.0,1746.0,1758.5,4333000.0,1758.5,0.0,0.0,0.0,0.0,0.0,103000.0,107300.0,1769.5,1793.0,1746.0,1758.5,4333000.0,1758.5,0.0,0.0,0.0,0,0,103000.0,107300.0,both
