,日付,信用売残,信用買残,信用倍率
0,2023-11-10,857100,4071900,4.75
1,2023-11-02,554800,4674900,8.43
2,2023-10-27,624900,4355200,6.97
3,2023-10-20,677000,4229000,6.25
4,2023-10-13,775100,3933000,5.07
5,2023-10-06,740600,3636200,4.91
6,2023-09-29,1058500,2561900,2.42
7,2023-09-22,1227200,2550300,2.08
8,2023-09-15,1353800,1939800,1.43
9,2023-09-08,1446300,2263800,1.57
10,2023-09-01,1290500,1390000,1.08
11,2023-08-25,1019400,2027100,1.99
12,2023-08-18,740000,2528500,3.42
13,2023-08-10,778900,2648400,3.4
14,2023-08-04,846400,3599900,4.25
15,2023-07-28,870400,3521600,4.05
16,2023-07-21,892700,3263200,3.66
17,2023-07-14,763000,3595600,4.71
18,2023-07-07,1033500,3509700,3.4
19,2023-06-30,1148100,3040800,2.65
20,2023-06-23,1093400,2660500,2.43
21,2023-06-16,1134900,2778600,2.45
22,2023-06-09,1022500,3113500,3.04
23,2023-06-02,635400,3644100,5.74
24,2023-05-26,762200,3538600,4.64
25,2023-05-19,670600,4217700,6.29
