,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
166,2023-11-02,3,1528.0,1537.0,1476.0,1476.0,6259000.0,1476.0,0.0,0.0,0.0,0,0.0,0.0,0.0
167,2023-11-01,2,1493.0,1503.0,1475.0,1498.0,5562900.0,1498.0,0.0,0.0,0.0,0,0.0,400.0,129300.0
168,2023-10-31,1,1453.0,1454.0,1401.0,1424.0,7625000.0,1424.0,0.0,0.0,0.0,0,0.0,11100.0,128400.0
169,2023-10-30,0,1470.0,1472.5,1429.0,1439.0,5574200.0,1439.0,0.0,0.0,0.0,0,0.0,15000.0,141200.0
170,2023-10-27,4,1502.0,1509.5,1493.5,1501.0,4498300.0,1501.0,624900.0,4355200.0,6.97,0,0.0,17000.0,124300.0
171,2023-10-26,3,1515.0,1524.5,1492.5,1503.5,3716600.0,1503.5,0.0,0.0,0.0,0,0.0,37500.0,122900.0
172,2023-10-25,2,1535.5,1550.0,1523.0,1523.0,3314500.0,1523.0,0.0,0.0,0.0,0,0.0,19500.0,123200.0
173,2023-10-24,1,1508.5,1527.5,1472.0,1511.0,4635700.0,1511.0,0.0,0.0,0.0,0,0.0,20400.0,143000.0
174,2023-10-23,0,1511.0,1523.0,1482.0,1501.5,3536600.0,1501.5,0.0,0.0,0.0,0,0.0,46900.0,142700.0
175,2023-10-20,4,1538.5,1540.5,1502.0,1513.5,4944000.0,1513.5,677000.0,4229000.0,6.25,0,0.0,28400.0,140400.0
176,2023-10-19,3,1572.5,1585.0,1552.0,1554.5,3606400.0,1554.5,0.0,0.0,0.0,0,0.0,34800.0,118100.0
