,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-11-17,1759.0,1786.5,1753.0,1786.5,3800100,1786.5
1,2023-11-16,1785.5,1813.0,1773.5,1785.5,6822100,1785.5
2,2023-11-15,1751.5,1794.5,1743.0,1752.0,7921500,1752.0
3,2023-11-14,1708.0,1738.5,1705.5,1736.5,5885300,1736.5
4,2023-11-13,1690.0,1709.5,1671.0,1674.5,4722600,1674.5
5,2023-11-10,1675.0,1678.5,1647.0,1675.5,7719300,1675.5
6,2023-11-09,1690.0,1724.0,1659.5,1704.5,8649600,1704.5
7,2023-11-08,1724.0,1733.0,1649.5,1663.0,21681600,1663.0
8,2023-11-07,1510.5,1533.0,1502.0,1506.5,6652900,1506.5
9,2023-11-06,1502.0,1502.5,1480.5,1500.0,8715600,1500.0
10,2023-11-02,1528.0,1537.0,1476.0,1476.0,6259000,1476.0
11,2023-11-01,1493.0,1503.0,1475.0,1498.0,5562900,1498.0
12,2023-10-31,1453.0,1454.0,1401.0,1424.0,7625000,1424.0
13,2023-10-30,1470.0,1472.5,1429.0,1439.0,5574200,1439.0
14,2023-10-27,1502.0,1509.5,1493.5,1501.0,4498300,1501.0
15,2023-10-26,1515.0,1524.5,1492.5,1503.5,3716600,1503.5
16,2023-10-25,1535.5,1550.0,1523.0,1523.0,3314500,1523.0
17,2023-10-24,1508.5,1527.5,1472.0,1511.0,4635700,1511.0
18,2023-10-23,1511.0,1523.0,1482.0,1501.5,3536600,1501.5
19,2023-10-20,1538.5,1540.5,1502.0,1513.5,4944000,1513.5
20,2023-10-19,1572.5,1585.0,1552.0,1554.5,3606400,1554.5
21,2023-10-18,1619.5,1641.0,1606.0,1611.5,3615700,1611.5
22,2023-10-17,1620.0,1623.0,1577.0,1594.5,3970800,1594.5
23,2023-10-16,1600.0,1605.0,1574.5,1591.0,3647800,1591.0
24,2023-10-13,1612.0,1649.5,1597.5,1605.0,5258600,1605.0
