,Unnamed: 0,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
0,0,2023-11-02,3,43,1528.0,1537.0,1476.0,1476.0,6259000.0,1476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1,0.014686248331108143,52.0,4
1,1,2023-11-01,2,43,1493.0,1503.0,1475.0,1498.0,5562900.0,1498.0,0.0,0.0,0.0,0.0,0.0,400.0,129300.0,-74.0,0,-0.05196629213483146,-5.0,4
2,2,2023-10-31,1,43,1453.0,1454.0,1401.0,1424.0,7625000.0,1424.0,0.0,0.0,0.0,0.0,0.0,11100.0,128400.0,15.0,1,0.010423905489923557,29.0,4
3,3,2023-10-30,0,43,1470.0,1472.5,1429.0,1439.0,5574200.0,1439.0,0.0,0.0,0.0,0.0,0.0,15000.0,141200.0,62.0,1,0.041305796135909394,31.0,4
5,5,2023-10-26,3,42,1515.0,1524.5,1492.5,1503.5,3716600.0,1503.5,0.0,0.0,0.0,0.0,0.0,37500.0,122900.0,19.5,1,0.012803676953381483,11.5,5
6,6,2023-10-25,2,42,1535.5,1550.0,1523.0,1523.0,3314500.0,1523.0,0.0,0.0,0.0,0.0,0.0,19500.0,123200.0,-12.0,0,-0.007941760423560556,12.5,5
7,7,2023-10-24,1,42,1508.5,1527.5,1472.0,1511.0,4635700.0,1511.0,0.0,0.0,0.0,0.0,0.0,20400.0,143000.0,-9.5,0,-0.006327006327006327,-2.5,5
8,8,2023-10-23,0,42,1511.0,1523.0,1482.0,1501.5,3536600.0,1501.5,0.0,0.0,0.0,0.0,0.0,46900.0,142700.0,12.0,1,0.007928642220019821,9.5,5
10,10,2023-10-19,3,41,1572.5,1585.0,1552.0,1554.5,3606400.0,1554.5,0.0,0.0,0.0,0.0,0.0,34800.0,118100.0,57.0,1,0.03537077257213776,18.0,5
11,11,2023-10-18,2,41,1619.5,1641.0,1606.0,1611.5,3615700.0,1611.5,0.0,0.0,0.0,0.0,0.0,61200.0,108400.0,-17.0,0,-0.01066164941988084,8.0,5
12,12,2023-10-17,1,41,1620.0,1623.0,1577.0,1594.5,3970800.0,1594.5,0.0,0.0,0.0,0.0,0.0,28700.0,108100.0,-3.5,0,-0.0021998742928975488,25.5,5
13,13,2023-10-16,0,41,1600.0,1605.0,1574.5,1591.0,3647800.0,1591.0,0.0,0.0,0.0,0.0,0.0,54500.0,106200.0,14.0,1,0.008722741433021807,9.0,5
15,15,2023-10-12,3,40,1617.0,1639.0,1612.0,1636.5,4512700.0,1636.5,0.0,0.0,0.0,0.0,0.0,74100.0,123300.0,-42.5,0,-0.026662484316185696,-19.5,4
