,日付,信用売残,信用買残,信用倍率
0,2023-10-06,27500,218500,7.95
1,2023-09-29,26600,207000,7.78
2,2023-09-22,21200,200400,9.45
3,2023-09-15,23200,188400,8.12
4,2023-09-08,23200,177200,7.64
5,2023-09-01,27000,103800,3.84
6,2023-08-25,25400,93800,3.69
7,2023-08-18,31100,82700,2.66
8,2023-08-10,25600,75000,2.93
9,2023-08-04,16300,89900,5.52
10,2023-07-28,19400,80100,4.13
11,2023-07-21,19800,78500,3.96
12,2023-07-14,18700,75800,4.05
13,2023-07-07,20300,78400,3.86
14,2023-06-30,16100,85800,5.33
15,2023-06-23,21300,101300,4.76
16,2023-06-16,20100,99100,4.93
17,2023-06-09,22500,101900,4.53
18,2023-06-02,22400,98400,4.39
19,2023-05-26,28300,101400,3.58
20,2023-05-19,21800,79200,3.63
21,2023-05-12,43400,59900,1.38
22,2023-04-28,7400,68000,9.19
23,2023-04-21,10200,68200,6.69
