,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-10-03,1577,1577,1487,1493,241900,1493.0
1,2023-10-02,1576,1622,1576,1577,161700,1577.0
2,2023-09-29,1612,1629,1566,1574,191400,1574.0
3,2023-09-28,1621,1634,1601,1613,96700,1613.0
4,2023-09-27,1625,1650,1612,1644,103200,1644.0
5,2023-09-26,1637,1646,1622,1628,47500,1628.0
6,2023-09-25,1616,1642,1614,1637,53400,1637.0
7,2023-09-22,1608,1627,1598,1616,78400,1616.0
8,2023-09-21,1634,1650,1610,1620,114000,1620.0
9,2023-09-20,1648,1655,1631,1634,102500,1634.0
10,2023-09-19,1653,1658,1634,1656,100800,1656.0
11,2023-09-15,1677,1680,1654,1668,106000,1668.0
12,2023-09-14,1635,1667,1628,1653,79100,1653.0
13,2023-09-13,1638,1659,1634,1640,73400,1640.0
14,2023-09-12,1647,1666,1631,1649,76900,1649.0
15,2023-09-11,1671,1687,1644,1647,95500,1647.0
16,2023-09-08,1650,1677,1645,1671,120300,1671.0
17,2023-09-07,1720,1720,1671,1671,218500,1671.0
18,2023-09-06,1702,1747,1702,1729,132800,1729.0
19,2023-09-05,1685,1708,1672,1703,111600,1703.0
20,2023-09-04,1660,1688,1647,1686,94200,1686.0
21,2023-09-01,1673,1673,1656,1660,101300,1660.0
22,2023-08-31,1669,1692,1664,1686,127100,1686.0
23,2023-08-30,1662,1673,1657,1664,95800,1664.0
24,2023-08-29,1693,1694,1666,1671,59200,1671.0
