,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-11-17,4,45,1415.0,1461.0,1402.0,1461.0,192300.0,1461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2023-11-16,3,45,1402.0,1427.0,1374.0,1415.0,283700.0,1415.0,0.0,0.0,0.0,0.0,0.0,4000.0,15800.0
2,2023-11-15,2,45,1425.0,1425.0,1396.0,1414.0,288300.0,1414.0,0.0,0.0,0.0,0.0,0.0,4900.0,15900.0
3,2023-11-14,1,45,1397.0,1440.0,1382.0,1430.0,263400.0,1430.0,0.0,0.0,0.0,0.0,0.0,3500.0,24000.0
4,2023-11-13,0,45,1381.0,1432.0,1380.0,1411.0,335200.0,1411.0,0.0,0.0,0.0,0.0,0.0,3600.0,24900.0
5,2023-11-10,4,44,1318.0,1353.0,1309.0,1353.0,204600.0,1353.0,31400.0,251900.0,8.02,0.0,0.0,4700.0,26000.0
6,2023-11-09,3,44,1322.0,1336.0,1309.0,1318.0,178000.0,1318.0,0.0,0.0,0.0,0.0,0.0,4500.0,24800.0
7,2023-11-08,2,44,1325.0,1335.0,1311.0,1311.0,252100.0,1311.0,0.0,0.0,0.0,0.0,0.0,6200.0,24800.0
8,2023-11-07,1,44,1334.0,1336.0,1302.0,1302.0,139700.0,1302.0,0.0,0.0,0.0,0.0,0.0,5600.0,24900.0
9,2023-11-06,0,44,1306.0,1330.0,1300.0,1322.0,226300.0,1322.0,0.0,0.0,0.0,0.0,0.0,6000.0,25000.0
10,2023-11-02,3,43,1265.0,1281.0,1257.0,1270.0,196800.0,1270.0,31700.0,255500.0,8.06,0.0,0.0,6000.0,24600.0
11,2023-11-01,2,43,1269.0,1282.0,1255.0,1265.0,120900.0,1265.0,0.0,0.0,0.0,0.0,0.0,6400.0,24600.0
12,2023-10-31,1,43,1233.0,1240.0,1206.0,1239.0,263900.0,1239.0,0.0,0.0,0.0,0.0,0.0,6100.0,24500.0
13,2023-10-30,0,43,1255.0,1258.0,1234.0,1241.0,352700.0,1241.0,0.0,0.0,0.0,0.0,0.0,6100.0,25300.0
14,2023-10-27,4,42,1266.0,1304.0,1257.0,1287.0,244400.0,1287.0,31700.0,256300.0,8.09,0.0,0.0,6500.0,25300.0
15,2023-10-26,3,42,1285.0,1289.0,1249.0,1255.0,249000.0,1255.0,0.0,0.0,0.0,0.0,0.0,6000.0,25100.0
