,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-10-17,0,0,8200,25600
1,2023-10-16,0,0,8300,25000
2,2023-10-13,0,0,6200,25800
3,2023-10-12,0,0,4800,25800
4,2023-10-11,0,0,5800,25900
5,2023-10-10,0,0,6000,25800
6,2023-10-06,0,0,6100,25500
7,2023-10-05,0,0,6100,25000
8,2023-10-04,0,0,6700,24800
9,2023-10-03,0,0,5000,25500
10,2023-10-02,0,0,4900,25000
11,2023-09-29,0,0,6600,25000
12,2023-09-28,0,0,4900,25000
13,2023-09-27,0,0,4500,25000
14,2023-09-26,0,0,4400,24500
15,2023-09-25,0,0,4400,24500
16,2023-09-22,0,0,4800,24500
17,2023-09-21,0,0,5000,24500
18,2023-09-20,0,0,4200,24300
19,2023-09-19,0,0,4500,24400
