,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
166,2023-11-02,3,505.0,506.0,484.4,485.8,19811900.0,485.8,0.0,0.0,0.0,0,0,0.0,0.0
167,2023-11-01,2,498.6,501.0,488.6,498.6,17266400.0,498.6,0.0,0.0,0.0,0,0,31200.0,465900.0
168,2023-10-31,1,485.0,489.1,476.7,482.6,20328500.0,482.6,0.0,0.0,0.0,0,0,16400.0,482200.0
169,2023-10-30,0,498.0,515.6,478.7,485.0,43370100.0,485.0,0.0,0.0,0.0,0,0,38600.0,598600.0
170,2023-10-27,4,504.4,512.1,496.6,507.6,11139300.0,507.6,3725400.0,15726100.0,4.22,0,0,15200.0,479700.0
171,2023-10-26,3,511.1,511.2,500.3,504.0,10129600.0,504.0,0.0,0.0,0.0,0,0,24900.0,467800.0
172,2023-10-25,2,530.4,530.4,509.3,511.3,13600700.0,511.3,0.0,0.0,0.0,0,0,109000.0,479300.0
173,2023-10-24,1,520.0,523.8,504.3,522.4,15474800.0,522.4,0.0,0.0,0.0,0,0,138600.0,558400.0
174,2023-10-23,0,520.4,521.6,509.5,513.7,13395900.0,513.7,0.0,0.0,0.0,0,0,35200.0,551200.0
175,2023-10-20,4,525.5,531.5,519.2,524.4,11392700.0,524.4,3942200.0,15091300.0,3.83,0,0,105400.0,553700.0
176,2023-10-19,3,540.7,542.3,527.6,529.7,16392900.0,529.7,0.0,0.0,0.0,0,0,131300.0,536000.0
