,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-11-17,495.0,502.4,493.1,502.4,11793300,502.4
1,2023-11-16,500.0,510.7,498.2,502.7,13264500,502.7
2,2023-11-15,498.0,503.5,495.4,497.2,11763400,497.2
3,2023-11-14,498.5,499.7,492.7,493.2,10011000,493.2
4,2023-11-13,503.0,504.5,490.6,494.1,8610000,494.1
5,2023-11-10,493.6,499.4,490.1,499.2,11702100,499.2
6,2023-11-09,491.6,504.8,490.9,504.7,14210000,504.7
7,2023-11-08,499.5,507.2,488.4,490.7,18050600,490.7
8,2023-11-07,499.9,502.9,491.9,494.5,13141100,494.5
9,2023-11-06,493.8,500.9,489.1,498.0,16210800,498.0
10,2023-11-02,505.0,506.0,484.4,485.8,19811900,485.8
11,2023-11-01,498.6,501.0,488.6,498.6,17266400,498.6
12,2023-10-31,485.0,489.1,476.7,482.6,20328500,482.6
13,2023-10-30,498.0,515.6,478.7,485.0,43370100,485.0
14,2023-10-27,504.4,512.1,496.6,507.6,11139300,507.6
15,2023-10-26,511.1,511.2,500.3,504.0,10129600,504.0
16,2023-10-25,530.4,530.4,509.3,511.3,13600700,511.3
17,2023-10-24,520.0,523.8,504.3,522.4,15474800,522.4
18,2023-10-23,520.4,521.6,509.5,513.7,13395900,513.7
19,2023-10-20,525.5,531.5,519.2,524.4,11392700,524.4
20,2023-10-19,540.7,542.3,527.6,529.7,16392900,529.7
21,2023-10-18,558.2,564.2,548.2,556.9,11290800,556.9
22,2023-10-17,561.3,562.6,543.4,549.2,13020300,549.2
23,2023-10-16,565.1,565.5,550.1,555.5,9414000,555.5
24,2023-10-13,574.1,579.9,564.5,565.6,13063400,565.6
