,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-09-15,618.1,635.5,618,626.1,19436600,626.1,0,0,0,0,0,0,0
1,2023-09-14,595.8,615,595.3,615,14761800,615,0,0,0,0,1,596800,226400
2,2023-09-13,596.7,597.7,591.1,594.2,7609500,594.2,0,0,0,0,0,418300,412200
3,2023-09-12,579,594.6,578.5,594.1,11173500,594.1,0,0,0,0,0,385600,380900
4,2023-09-11,580.7,580.7,571,575.7,8121200,575.7,0,0,0,0,0,345500,429400
5,2023-09-08,581.7,588.3,577.9,580.1,10630600,580.1,5226400,11346000,2.17,0,0,359300,544900
6,2023-09-07,588,595.8,584.8,588.4,9492800,588.4,0,0,0,0,0,381300,378900
7,2023-09-06,577.5,592.6,576.1,589.6,13074000,589.6,0,0,0,0,0,386800,377500
8,2023-09-05,577.8,577.9,567.1,573.9,7795600,573.9,0,0,0,0,0,380600,386800
9,2023-09-04,568.7,576.1,567.9,576.1,9055300,576.1,0,0,0,0,0,412000,402000
10,2023-09-01,569.6,569.7,563,565,10392800,565,5145000,12153900,2.36,0,0,379800,366000
11,2023-08-31,565.5,573.7,563.3,572.7,10106400,572.7,0,0,0,0,0,423800,417500
12,2023-08-30,567,567.6,562.3,564.3,9319200,564.3,0,0,0,0,0,382600,378600
13,2023-08-29,564.1,565,558.8,559.3,7672000,559.3,0,0,0,0,0,377000,513600
14,2023-08-28,560.1,566.3,557.3,561.7,7185900,561.7,0,0,0,0,0,369900,365100
15,2023-08-25,548.2,554.2,545.5,552.3,5407100,552.3,5091600,13098700,2.57,0,0,370500,362500
16,2023-08-24,552.7,553.4,544.5,551,8435800,551,0,0,0,0,0,370700,485400
17,2023-08-23,551,561.5,548.3,557.5,8258200,557.5,0,0,0,0,0,398700,389700
18,2023-08-22,559.2,559.8,551.3,557.1,8854900,557.1,0,0,0,0,0,398800,390900
19,2023-08-21,557.4,560.8,550.1,551.9,8011600,551.9,0,0,0,0,0,370200,358200
20,2023-08-18,550.9,560.5,550.1,557.4,9996700,557.4,5205300,12709700,2.44,0,0,381200,393000
21,2023-08-17,561.5,562,544.2,558.7,11180500,558.7,0,0,0,0,0,362000,389700
22,2023-08-16,560,560.9,550.3,551.5,10284800,551.5,0,0,0,0,0,344200,552000
23,2023-08-15,574.5,574.7,565.2,566.1,7013000,566.1,0,0,0,0,0,354600,354700
24,2023-08-14,574.9,575.9,564.7,565.9,9843900,565.9,0,0,0,0,0,347500,504900
25,2023-08-10,568.4,577.7,567,574.2,7344200,574.2,5728300,11788500,2.06,0,0,339400,341300
26,2023-08-09,571.4,573.9,565.2,572.4,7985900,572.4,0,0,0,0,0,342700,344600
27,2023-08-08,575.4,587.9,574.6,576.3,12767000,576.3,0,0,0,0,0,343300,343900
28,2023-08-07,570,570.7,561.6,568,11980800,568,0,0,0,0,0,346200,567800
29,2023-08-04,567.8,578.5,566.1,577,9342200,577,5800200,11926200,2.06,0,0,369000,358600
30,2023-08-03,574.9,575.9,567,572,11973500,572,0,0,0,0,0,357500,469200
31,2023-08-02,588,595.8,580.5,580.5,17516900,580.5,0,0,0,0,0,394100,1104100
32,2023-08-01,578.2,599.9,572.5,597.9,23374300,597.9,0,0,0,0,1,883300,343600
33,2023-07-31,571.8,573.5,565.6,571.6,16547500,571.6,0,0,0,0,0,339500,446700
34,2023-07-28,553.2,566,542.3,556,28814300,556,5867300,13375500,2.28,0,0,348900,636600
35,2023-07-27,582.1,582.4,555.3,563.2,21819500,563.2,0,0,0,0,0,455000,967700
36,2023-07-26,574.2,582,563.5,576.4,27031300,576.4,0,0,0,0,3,577400,467000
37,2023-07-25,545,586.9,543.6,584.2,57694900,584.2,0,0,0,0,1,1186500,300400
38,2023-07-24,532,566.8,531.8,544.8,69530500,544.8,0,0,0,0,0,482500,367200
39,2023-07-21,519.8,522.7,513.6,518.9,16035800,518.9,4897600,17285800,3.53,0,0,213100,322600
40,2023-07-20,512,519.9,509,511,13240400,511,0,0,0,0,0,169600,382600
41,2023-07-19,502,512.1,500.5,512.1,16817800,512.1,0,0,0,0,0,169100,388900
42,2023-07-18,490.3,497.3,486.3,495.4,10758900,495.4,0,0,0,0,0,157100,434400
43,2023-07-14,490.7,494,482.2,488.8,12733500,488.8,4288600,20466700,4.77,0,0,151500,460400
44,2023-07-13,499.6,499.6,488.4,490.1,16287900,490.1,0,0,0,0,0,122500,461000
45,2023-07-12,518.6,518.9,501,501.6,14032500,501.6,0,0,0,0,0,156500,585400
46,2023-07-11,510,524.6,506.5,516.2,32773400,516.2,0,0,0,0,0,157900,324400
47,2023-07-10,506.7,508,495.3,499.1,14826900,499.1,0,0,0,0,0,6300,380800
48,2023-07-07,505.6,508.9,499.7,503.3,13659400,503.3,4634500,19556500,4.22,0,0,65200,340900
49,2023-07-06,507,518.5,504.1,506.8,15743700,506.8,0,0,0,0,0,64500,348900
50,2023-07-05,509,509,501.1,508.1,13459700,508.1,0,0,0,0,0,61800,329200
51,2023-07-04,516.4,522.9,509.5,510.7,15802600,510.7,0,0,0,0,0,76700,365800
52,2023-07-03,507.4,519.6,503.5,514.4,21106600,514.4,0,0,0,0,0,24400,298100
53,2023-06-30,504.9,506,492.1,501.1,23734500,501.1,4474900,20135900,4.5,0,0,81100,465300
54,2023-06-29,490.8,501,490.8,499.9,20544800,499.9,0,0,0,0,0,14900,403400
55,2023-06-28,484.8,488.8,478.6,488.4,16876900,488.4,0,0,0,0,0,23300,386200
56,2023-06-27,482,485.2,477.9,479.5,12466700,479.5,0,0,0,0,0,2800,387400
57,2023-06-26,477.5,478.5,471.3,475.9,9597500,475.9,0,0,0,0,0,2800,395600
58,2023-06-23,489,494.3,474.3,477.1,21700500,477.1,3876600,23019400,5.94,0,0,2800,395700
59,2023-06-22,486.2,490.9,483.9,484.7,13513500,484.7,0,0,0,0,0,2800,389600
60,2023-06-21,482.7,490.5,480.1,488.7,14294800,488.7,0,0,0,0,0,3800,433000
61,2023-06-20,487.9,490.1,482.6,489.1,13406800,489.1,0,0,0,0,0,2800,436000
62,2023-06-19,494.1,497.5,486.4,487.9,14993300,487.9,0,0,0,0,0,2900,459900
63,2023-06-16,491.4,491.5,481.3,486.1,21454800,486.1,4295600,22359500,5.21,0,0,2900,455900
64,2023-06-15,495,495.4,484.5,489.8,22522900,489.8,0,0,0,0,0,23400,803300
65,2023-06-14,491.8,500.7,491.1,499.4,27463300,499.4,0,0,0,0,0,27100,736300
66,2023-06-13,480,488.5,479.6,485,19439100,485,0,0,0,0,0,22200,712100
67,2023-06-12,483.5,484.5,477.9,479.9,11398400,479.9,0,0,0,0,0,45400,766800
68,2023-06-09,473,481.9,472,481.8,17181000,481.8,4373500,22801300,5.21,0,0,45400,750400
69,2023-06-08,485,485.8,471,473.2,18930600,473.2,0,0,0,0,0,30400,878100
70,2023-06-07,484.8,485,474,477.5,21944500,477.5,0,0,0,0,0,33600,799100
71,2023-06-06,475,479,470,476.8,19377500,476.8,0,0,0,0,0,46900,899400
72,2023-06-05,471,481.9,466.6,481.9,31097500,481.9,0,0,0,0,0,60900,798100
73,2023-06-02,447,460,447,459,11579300,459,3776100,27986200,7.41,0,0,3800,702800
74,2023-06-01,454,456,443,446,17846900,446,0,0,0,0,0,10900,747900
75,2023-05-31,464,469,457,459,16283400,459,0,0,0,0,0,5800,974900
76,2023-05-30,463,471,457,470,15351300,470,0,0,0,0,0,5800,671300
77,2023-05-29,473,473,461,461,11730000,461,0,0,0,0,0,5800,825500
78,2023-05-26,471,471,463,463,11442200,463,3589200,27233600,7.59,0,0,3500,788700
79,2023-05-25,474,475,468,468,11842300,468,0,0,0,0,0,5200,757400
80,2023-05-24,475,478,470,473,13156600,473,0,0,0,0,0,20400,669500
81,2023-05-23,471,475,469,473,17708000,473,0,0,0,0,0,4700,669500
82,2023-05-22,460,467,459,466,11137700,466,0,0,0,0,0,4700,683200
83,2023-05-19,465,467,459,462,11085000,462,3938800,28359700,7.2,0,0,3600,671300
84,2023-05-18,461,467,458,459,14844400,459,0,0,0,0,0,2800,679200
85,2023-05-17,457,460,453,454,13719200,454,0,0,0,0,0,2800,683900
86,2023-05-16,467,468,453,455,23353300,455,0,0,0,0,0,800,702300
87,2023-05-15,470,475,467,469,15859100,469,0,0,0,0,0,4800,741100
88,2023-05-12,460,473,456,465,22530600,465,3737800,29242900,7.82,0,0,2800,730700
89,2023-05-11,476,477,462,462,22105000,462,0,0,0,0,0,2000,777600
90,2023-05-10,500,501,476,477,51823500,477,0,0,0,0,0,3100,1447800
91,2023-05-09,516,529,513,529,20660800,529,0,0,0,0,0,5000,554100
92,2023-05-08,515,518,511,511,12740400,511,0,0,0,0,0,13100,649200
93,2023-05-02,518,521,514,518,9912400,518,0,0,0,0,0,13100,515900
94,2023-05-01,524,525,517,518,10356300,518,0,0,0,0,0,13300,580800
95,2023-04-28,507,515,503,515,15600800,515,5168400,21453600,4.15,0,0,11700,606700
96,2023-04-27,490,502,489,501,9733100,501,0,0,0,0,0,56600,518800
97,2023-04-26,498,501,489,493,14970200,493,0,0,0,0,0,66700,677900
98,2023-04-25,512,517,504,506,12466800,506,0,0,0,0,0,28700,546800
99,2023-04-24,507,508,500,505,9449800,505,0,0,0,0,0,54700,643700
100,2023-04-21,507,509,501,503,10387800,503,4945200,21403400,4.33,0,0,52700,578900
101,2023-04-20,510,516,506,513,7551600,513,0,0,0,0,0,22700,571800
102,2023-04-19,514,516,509,514,10261200,514,0,0,0,0,0,30000,636900
