,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
1,2023-11-16,3,45,500.0,510.7,498.2,502.7,13264500.0,502.7,0.0,0.0,0.0,0.0,0.0,200.0,546100.0,-5.5,0,-0.011061946902654867,-2.6999999999999886,5
2,2023-11-15,2,45,498.0,503.5,495.4,497.2,11763400.0,497.2,0.0,0.0,0.0,0.0,0.0,30100.0,515900.0,-4.0,0,-0.008110300081103,0.8000000000000114,5
3,2023-11-14,1,45,498.5,499.7,492.7,493.2,10011000.0,493.2,0.0,0.0,0.0,0.0,0.0,0.0,520900.0,0.9000000000000341,1,0.0018214936247723823,5.300000000000011,5
4,2023-11-13,0,45,503.0,504.5,490.6,494.1,8610000.0,494.1,0.0,0.0,0.0,0.0,0.0,0.0,534500.0,5.099999999999966,1,0.010216346153846086,8.899999999999977,5
6,2023-11-09,3,44,491.6,504.8,490.9,504.7,14210000.0,504.7,0.0,0.0,0.0,0.0,0.0,21100.0,497000.0,-14.0,0,-0.028530670470756064,-13.099999999999966,5
7,2023-11-08,2,44,499.5,507.2,488.4,490.7,18050600.0,490.7,0.0,0.0,0.0,0.0,0.0,27100.0,505600.0,3.8000000000000114,1,0.007684529828109224,8.800000000000011,5
8,2023-11-07,1,44,499.9,502.9,491.9,494.5,13141100.0,494.5,0.0,0.0,0.0,0.0,0.0,27100.0,642000.0,3.5,1,0.007028112449799197,5.399999999999977,5
9,2023-11-06,0,44,493.8,500.9,489.1,498.0,16210800.0,498.0,0.0,0.0,0.0,0.0,0.0,31000.0,610300.0,-12.199999999999989,0,-0.025113215314944398,-4.199999999999989,5
15,2023-10-26,3,42,511.1,511.2,500.3,504.0,10129600.0,504.0,0.0,0.0,0.0,0.0,0.0,24900.0,467800.0,7.300000000000011,1,0.014277332290240585,7.100000000000023,5
16,2023-10-25,2,42,530.4,530.4,509.3,511.3,13600700.0,511.3,0.0,0.0,0.0,0.0,0.0,109000.0,479300.0,11.099999999999966,1,0.021248085758039752,19.099999999999966,5
17,2023-10-24,1,42,520.0,523.8,504.3,522.4,15474800.0,522.4,0.0,0.0,0.0,0.0,0.0,138600.0,558400.0,-8.699999999999932,0,-0.016935954837453634,-2.3999999999999773,5
18,2023-10-23,0,42,520.4,521.6,509.5,513.7,13395900.0,513.7,0.0,0.0,0.0,0.0,0.0,35200.0,551200.0,10.699999999999932,1,0.02040427154843618,6.699999999999932,5
20,2023-10-19,3,41,540.7,542.3,527.6,529.7,16392900.0,529.7,0.0,0.0,0.0,0.0,0.0,131300.0,536000.0,27.199999999999932,1,0.04884180283713401,11.0,5
21,2023-10-18,2,41,558.2,564.2,548.2,556.9,11290800.0,556.9,0.0,0.0,0.0,0.0,0.0,191800.0,408400.0,-7.699999999999932,0,-0.014020393299344376,1.3000000000000682,5
22,2023-10-17,1,41,561.3,562.6,543.4,549.2,13020300.0,549.2,0.0,0.0,0.0,0.0,0.0,192600.0,425700.0,6.2999999999999545,1,0.011341134113411259,12.099999999999909,5
23,2023-10-16,0,41,565.1,565.5,550.1,555.5,9414000.0,555.5,0.0,0.0,0.0,0.0,0.0,207900.0,380400.0,10.100000000000023,1,0.017857142857142898,9.600000000000023,5
29,2023-10-05,3,39,599.9,600.5,577.6,585.2,17523100.0,585.2,0.0,0.0,0.0,0.0,0.0,301600.0,499900.0,-5.300000000000068,0,-0.009139506811519345,14.699999999999932,5
30,2023-10-04,2,39,611.7,612.0,578.4,579.9,23481100.0,579.9,0.0,0.0,0.0,0.0,0.0,285800.0,434000.0,45.10000000000002,1,0.07216000000000003,31.800000000000068,5
31,2023-10-03,1,39,655.9,655.9,623.5,625.0,17910600.0,625.0,0.0,0.0,0.0,0.0,0.0,350900.0,589800.0,33.299999999999955,1,0.05058483973872088,30.899999999999977,5
32,2023-10-02,0,39,664.3,678.3,658.3,658.3,17087600.0,658.3,0.0,0.0,0.0,0.0,1.0,695500.0,329800.0,-6.899999999999977,0,-0.01059256984955477,6.0,5
34,2023-09-28,3,38,652.0,681.0,650.1,669.9,26909900.0,669.9,0.0,0.0,0.0,0.0,1.0,716800.0,292400.0,-20.600000000000023,0,-0.03172647466502391,-17.899999999999977,5
35,2023-09-27,2,38,652.0,652.0,632.7,649.3,15115900.0,649.3,0.0,0.0,0.0,0.0,0.0,392300.0,374300.0,5.5,1,0.00839951130116066,2.7000000000000455,5
