,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-11-16,0,0,200,546100
1,2023-11-15,0,0,30100,515900
2,2023-11-14,0,0,0,520900
3,2023-11-13,0,0,0,534500
4,2023-11-10,0,0,21000,507100
5,2023-11-09,0,0,21100,497000
6,2023-11-08,0,0,27100,505600
7,2023-11-07,0,0,27100,642000
8,2023-11-06,0,0,31000,610300
9,2023-11-02,0,0,52200,741100
10,2023-11-01,0,0,31200,465900
11,2023-10-31,0,0,16400,482200
12,2023-10-30,0,0,38600,598600
13,2023-10-27,0,0,15200,479700
14,2023-10-26,0,0,24900,467800
15,2023-10-25,0,0,109000,479300
16,2023-10-24,0,0,138600,558400
17,2023-10-23,0,0,35200,551200
18,2023-10-20,0,0,105400,553700
19,2023-10-19,0,0,131300,536000
20,2023-10-18,0,0,191800,408400
21,2023-10-17,0,0,192600,425700
22,2023-10-16,0,0,207900,380400
