,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
166,2023-11-02,3,1367.0,1369.0,1333.0,1351.0,30300.0,1351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,2023-11-01,2,1368.0,1373.0,1343.0,1369.0,23500.0,1369.0,0.0,0.0,0.0,0.0,0.0,500.0,2400.0
168,2023-10-31,1,1306.0,1355.0,1304.0,1352.0,42400.0,1352.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0
169,2023-10-30,0,1332.0,1332.0,1287.0,1306.0,100200.0,1306.0,0.0,0.0,0.0,0.0,0.0,200.0,3200.0
170,2023-10-27,4,1291.0,1332.0,1291.0,1332.0,22000.0,1332.0,600.0,166800.0,278.0,0.0,0.0,0.0,3200.0
171,2023-10-26,3,1291.0,1307.0,1285.0,1289.0,24300.0,1289.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0
172,2023-10-25,2,1314.0,1333.0,1301.0,1307.0,30300.0,1307.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0
173,2023-10-24,1,1287.0,1302.0,1257.0,1300.0,36000.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0
174,2023-10-23,0,1311.0,1313.0,1290.0,1292.0,26400.0,1292.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0
175,2023-10-20,4,1302.0,1323.0,1299.0,1317.0,25100.0,1317.0,800.0,165200.0,206.5,0.0,0.0,100.0,2900.0
176,2023-10-19,3,1313.0,1329.0,1300.0,1311.0,22500.0,1311.0,0.0,0.0,0.0,0.0,0.0,100.0,2900.0
