,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-10-16,1318,1340,1310,1315,22800,1315.0
1,2023-10-13,1357,1357,1319,1328,43300,1328.0
2,2023-10-12,1375,1380,1360,1370,39200,1370.0
3,2023-10-11,1380,1385,1365,1375,36800,1375.0
4,2023-10-10,1341,1386,1341,1380,51300,1380.0
5,2023-10-06,1332,1375,1324,1366,29900,1366.0
6,2023-10-05,1292,1339,1292,1332,38700,1332.0
7,2023-10-04,1300,1315,1284,1285,75500,1285.0
8,2023-10-03,1374,1374,1336,1338,43800,1338.0
9,2023-10-02,1398,1425,1373,1374,42400,1374.0
10,2023-09-29,1447,1447,1384,1396,54300,1396.0
11,2023-09-28,1429,1471,1429,1436,38300,1436.0
12,2023-09-27,1441,1467,1422,1454,47700,1454.0
13,2023-09-26,1465,1465,1443,1461,31600,1461.0
14,2023-09-25,1470,1487,1458,1458,46900,1458.0
15,2023-09-22,1432,1467,1420,1461,41900,1461.0
16,2023-09-21,1452,1491,1452,1460,43400,1460.0
17,2023-09-20,1515,1523,1464,1470,88700,1470.0
18,2023-09-19,1488,1520,1472,1517,87900,1517.0
19,2023-09-15,1450,1513,1450,1489,128600,1489.0
20,2023-09-14,1407,1441,1407,1440,61700,1440.0
21,2023-09-13,1399,1412,1390,1399,39300,1399.0
22,2023-09-12,1383,1412,1383,1392,31400,1392.0
23,2023-09-11,1372,1380,1370,1373,31500,1373.0
24,2023-09-08,1374,1388,1363,1368,29800,1368.0
