,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-10-02,0,0,300,2800
1,2023-09-29,0,0,300,2800
2,2023-09-28,0,0,300,6300
3,2023-09-27,0,0,800,2800
4,2023-09-26,0,0,800,3200
5,2023-09-25,0,0,800,4200
6,2023-09-22,0,0,600,4200
7,2023-09-21,0,0,500,4200
8,2023-09-20,0,0,400,4200
9,2023-09-19,0,0,500,3200
10,2023-09-15,0,0,0,3100
11,2023-09-14,0,0,300,4100
12,2023-09-13,0,0,0,3900
13,2023-09-12,0,0,0,3900
14,2023-09-11,0,0,0,6600
15,2023-09-08,0,0,0,6600
16,2023-09-07,0,0,0,6600
17,2023-09-06,0,0,0,6200
18,2023-09-05,0,0,0,6200
19,2023-09-04,0,0,500,8100
20,2023-09-01,0,0,0,5600
