,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
166,2023-11-02,3,5100.0,5185.0,5043.0,5185.0,1856500.0,5185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,2023-11-01,2,4988.0,5048.0,4961.0,4998.0,1980400.0,4998.0,0.0,0.0,0.0,0.0,0.0,9700.0,18300.0
168,2023-10-31,1,4904.0,4923.0,4839.0,4877.0,1482700.0,4877.0,0.0,0.0,0.0,0.0,0.0,11000.0,19000.0
169,2023-10-30,0,4930.0,4988.0,4880.0,4907.0,3939400.0,4907.0,0.0,0.0,0.0,0.0,0.0,10400.0,22400.0
170,2023-10-27,4,5040.0,5072.0,4982.0,5036.0,1407700.0,5036.0,186000.0,762800.0,4.1,0.0,0.0,10400.0,21400.0
171,2023-10-26,3,5096.0,5109.0,4927.0,4951.0,1994600.0,4951.0,0.0,0.0,0.0,0.0,0.0,11600.0,26000.0
172,2023-10-25,2,5179.0,5220.0,5138.0,5164.0,1476700.0,5164.0,0.0,0.0,0.0,0.0,0.0,9100.0,18200.0
173,2023-10-24,1,5065.0,5098.0,4914.0,5082.0,1715900.0,5082.0,0.0,0.0,0.0,0.0,0.0,8500.0,24500.0
174,2023-10-23,0,5112.0,5144.0,5067.0,5067.0,1131200.0,5067.0,0.0,0.0,0.0,0.0,0.0,8200.0,26300.0
175,2023-10-20,4,5245.0,5257.0,5135.0,5155.0,1895300.0,5155.0,211600.0,772500.0,3.65,0.0,0.0,8700.0,25800.0
176,2023-10-19,3,5300.0,5315.0,5174.0,5179.0,2284300.0,5179.0,0.0,0.0,0.0,0.0,0.0,10900.0,25600.0
