,Unnamed: 0,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
0,0,2023-11-02,3,43,5100.0,5185.0,5043.0,5185.0,1856500.0,5185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-187.0,0,-0.03741496598639456,-85.0,4
1,1,2023-11-01,2,43,4988.0,5048.0,4961.0,4998.0,1980400.0,4998.0,0.0,0.0,0.0,0.0,0.0,9700.0,18300.0,-121.0,0,-0.0248103342218577,-10.0,4
2,2,2023-10-31,1,43,4904.0,4923.0,4839.0,4877.0,1482700.0,4877.0,0.0,0.0,0.0,0.0,0.0,11000.0,19000.0,30.0,1,0.006113715100876299,27.0,4
3,3,2023-10-30,0,43,4930.0,4988.0,4880.0,4907.0,3939400.0,4907.0,0.0,0.0,0.0,0.0,0.0,10400.0,22400.0,129.0,1,0.02561556791104051,23.0,4
5,5,2023-10-26,3,42,5096.0,5109.0,4927.0,4951.0,1994600.0,4951.0,0.0,0.0,0.0,0.0,0.0,11600.0,26000.0,213.0,1,0.04124709527498063,145.0,5
6,6,2023-10-25,2,42,5179.0,5220.0,5138.0,5164.0,1476700.0,5164.0,0.0,0.0,0.0,0.0,0.0,9100.0,18200.0,-82.0,0,-0.016135379771743407,15.0,5
7,7,2023-10-24,1,42,5065.0,5098.0,4914.0,5082.0,1715900.0,5082.0,0.0,0.0,0.0,0.0,0.0,8500.0,24500.0,-15.0,0,-0.002960331557134399,-17.0,5
8,8,2023-10-23,0,42,5112.0,5144.0,5067.0,5067.0,1131200.0,5067.0,0.0,0.0,0.0,0.0,0.0,8200.0,26300.0,88.0,1,0.017070805043646945,45.0,5
10,10,2023-10-19,3,41,5300.0,5315.0,5174.0,5179.0,2284300.0,5179.0,0.0,0.0,0.0,0.0,0.0,10900.0,25600.0,273.0,1,0.050073367571533384,121.0,5
11,11,2023-10-18,2,41,5496.0,5510.0,5392.0,5452.0,1224800.0,5452.0,0.0,0.0,0.0,0.0,0.0,8000.0,18300.0,29.0,1,0.005291005291005291,44.0,5
12,12,2023-10-17,1,41,5500.0,5578.0,5428.0,5481.0,1174600.0,5481.0,0.0,0.0,0.0,0.0,0.0,8000.0,17800.0,-52.0,0,-0.00957819119543194,19.0,5
13,13,2023-10-16,0,41,5460.0,5480.0,5351.0,5429.0,1762400.0,5429.0,0.0,0.0,0.0,0.0,0.0,8100.0,18300.0,178.0,1,0.031746031746031744,31.0,5
15,15,2023-10-12,3,40,5357.0,5714.0,5341.0,5642.0,3622500.0,5642.0,0.0,0.0,0.0,0.0,0.0,13900.0,15900.0,-322.0,0,-0.060526315789473685,-285.0,4
16,16,2023-10-11,2,40,5290.0,5436.0,5154.0,5320.0,3539700.0,5320.0,0.0,0.0,0.0,0.0,0.0,12900.0,18600.0,-14.0,0,-0.002638522427440633,-30.0,4
17,17,2023-10-10,1,40,5568.0,5623.0,5240.0,5306.0,3120100.0,5306.0,0.0,0.0,0.0,0.0,0.0,20000.0,19100.0,47.0,1,0.008780123295348403,262.0,4
19,19,2023-10-05,3,39,5312.0,5400.0,5254.0,5390.0,1561800.0,5390.0,0.0,0.0,0.0,0.0,0.0,9400.0,15400.0,-110.0,0,-0.020833333333333332,-78.0,5
