,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-10-02,0,0,8300,20800
1,2023-09-29,0,0,9500,21400
2,2023-09-28,0,0,9400,21500
3,2023-09-27,0,0,9100,21500
4,2023-09-26,0,0,9400,21700
5,2023-09-25,0,0,10800,20800
6,2023-09-22,0,0,9000,27300
7,2023-09-21,0,0,9300,28000
8,2023-09-20,0,0,12800,14800
9,2023-09-19,0,0,12300,16400
10,2023-09-15,0,0,15900,16100
11,2023-09-14,0,0,13200,16100
12,2023-09-13,0,0,12000,16000
13,2023-09-12,0,0,12600,18200
14,2023-09-11,0,0,12100,18100
15,2023-09-08,0,0,11900,20600
16,2023-09-07,0,0,12700,19400
17,2023-09-06,0,0,13100,17600
18,2023-09-05,0,0,13200,18500
19,2023-09-04,0,0,12300,17500
20,2023-09-01,0,0,15200,20900
