,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
167,2023-11-02,3,1500.0,1522.0,1492.0,1522.0,917900.0,1522.0,0.0,0.0,0.0,0,0.0,0.0,0.0
168,2023-11-01,2,1475.0,1496.0,1474.5,1489.5,643600.0,1489.5,0.0,0.0,0.0,0,0.0,4800.0,22000.0
169,2023-10-31,1,1448.0,1465.0,1438.5,1461.5,625700.0,1461.5,0.0,0.0,0.0,0,0.0,3900.0,34900.0
170,2023-10-30,0,1450.5,1458.0,1436.5,1440.5,501600.0,1440.5,0.0,0.0,0.0,0,0.0,4300.0,34900.0
171,2023-10-27,4,1467.0,1467.5,1447.5,1463.5,848300.0,1463.5,160000.0,3341300.0,20.88,0,0.0,3900.0,34700.0
172,2023-10-26,3,1464.5,1473.0,1453.0,1459.0,471700.0,1459.0,0.0,0.0,0.0,0,0.0,4100.0,31700.0
173,2023-10-25,2,1488.0,1495.5,1469.5,1474.5,439800.0,1474.5,0.0,0.0,0.0,0,0.0,3900.0,31900.0
174,2023-10-24,1,1472.0,1487.5,1456.5,1481.5,677600.0,1481.5,0.0,0.0,0.0,0,0.0,4400.0,32000.0
175,2023-10-23,0,1469.5,1481.5,1458.5,1470.0,582000.0,1470.0,0.0,0.0,0.0,0,0.0,4100.0,31000.0
176,2023-10-20,4,1463.0,1478.5,1459.5,1471.5,411800.0,1471.5,214900.0,3169500.0,14.75,0,0.0,4500.0,31000.0
177,2023-10-19,3,1452.0,1478.0,1451.0,1469.0,387900.0,1469.0,0.0,0.0,0.0,0,0.0,4700.0,31200.0
