,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-11-17,1431.0,1442.5,1421.5,1442.5,524100,1442.5
1,2023-11-16,1437.0,1445.0,1421.0,1426.5,533700,1426.5
2,2023-11-15,1460.0,1462.5,1435.0,1441.0,458300,1441.0
3,2023-11-14,1466.5,1467.0,1445.0,1445.0,364700,1445.0
4,2023-11-13,1485.5,1485.5,1448.5,1455.0,419800,1455.0
5,2023-11-10,1463.5,1488.0,1448.5,1487.5,534900,1487.5
6,2023-11-09,1455.5,1462.5,1432.5,1457.5,511300,1457.5
7,2023-11-08,1502.0,1506.5,1453.0,1463.0,675200,1463.0
8,2023-11-07,1500.5,1533.0,1490.0,1499.5,563800,1499.5
9,2023-11-06,1522.0,1522.0,1482.0,1506.5,1068100,1506.5
10,2023-11-02,1500.0,1522.0,1492.0,1522.0,917900,1522.0
11,2023-11-01,1475.0,1496.0,1474.5,1489.5,643600,1489.5
12,2023-10-31,1448.0,1465.0,1438.5,1461.5,625700,1461.5
13,2023-10-30,1450.5,1458.0,1436.5,1440.5,501600,1440.5
14,2023-10-27,1467.0,1467.5,1447.5,1463.5,848300,1463.5
15,2023-10-26,1464.5,1473.0,1453.0,1459.0,471700,1459.0
16,2023-10-25,1488.0,1495.5,1469.5,1474.5,439800,1474.5
17,2023-10-24,1472.0,1487.5,1456.5,1481.5,677600,1481.5
18,2023-10-23,1469.5,1481.5,1458.5,1470.0,582000,1470.0
19,2023-10-20,1463.0,1478.5,1459.5,1471.5,411800,1471.5
20,2023-10-19,1452.0,1478.0,1451.0,1469.0,387900,1469.0
21,2023-10-18,1466.0,1476.5,1450.5,1471.5,429200,1471.5
22,2023-10-17,1467.0,1475.5,1455.0,1465.5,764000,1465.5
23,2023-10-16,1459.0,1463.0,1436.0,1460.0,588000,1460.0
24,2023-10-13,1485.0,1498.5,1469.0,1476.0,671800,1476.0
