,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-10-02,0.00,0,44900,31900
1,2023-09-29,0,0,43700,32900
2,2023-09-28,0,0,44200,35900
3,2023-09-27,0.00,0,70100,57600
4,2023-09-26,0.00,0,89300,78400
5,2023-09-25,0.00,0,84600,75700
6,2023-09-22,0.00,0,109000,93000
7,2023-09-21,0,0,4000,9100
8,2023-09-20,0.00,0,13400,9800
9,2023-09-19,0,0,5300,23100
10,2023-09-15,0,0,7200,22900
11,2023-09-14,0,0,6400,25900
12,2023-09-13,0,0,5400,5900
13,2023-09-12,0,0,5800,5400
14,2023-09-11,0,0,4700,5400
15,2023-09-08,0,0,4200,5400
16,2023-09-07,0,0,5000,6100
17,2023-09-06,0,0,6200,6100
18,2023-09-05,0,0,4800,9000
19,2023-09-04,0,0,6500,6500
20,2023-09-01,0,0,9300,12600
