,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-11-16,0,0,7000,32600
1,2023-11-15,0,0,7000,42500
2,2023-11-14,0,0,7000,36300
3,2023-11-13,0,0,7100,38500
4,2023-11-10,0,0,3500,40200
5,2023-11-09,0,0,3500,33500
6,2023-11-08,0,0,3500,33500
7,2023-11-07,0,0,3500,38700
8,2023-11-06,0,0,3500,37100
9,2023-11-02,0,0,3700,35300
10,2023-11-01,0,0,3700,34300
11,2023-10-31,0,0,3900,33100
12,2023-10-30,0,0,3900,43300
13,2023-10-27,0,0,3900,32800
14,2023-10-26,0,0,3900,36900
15,2023-10-25,0,0,7700,36800
16,2023-10-24,0,0,3700,33000
17,2023-10-23,0,0,3700,33400
18,2023-10-20,0,0,3700,33500
19,2023-10-19,0,0,4100,37100
20,2023-10-18,0,0,3500,50400
21,2023-10-17,0,0,3500,49800
22,2023-10-16,0,0,3500,55500
