,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残,_merge
0,2023-10-18,2.0,41.0,2052.0,2059.5,2028.0,2043.0,605300.0,2043.0,0.0,0.0,0.0,0.0,0.0,0.0,17700.0,2052.0,2059.5,2028.0,2043.0,605300.0,2043.0,0.0,0.0,0.0,0.0,0.0,0.0,17700.0,both
1,2023-10-17,1.0,41.0,2064.5,2074.0,2035.5,2046.0,685200.0,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,18700.0,2064.5,2074.0,2035.5,2046.0,685200.0,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,18700.0,both
2,2023-10-16,0.0,41.0,2073.5,2073.5,2038.5,2045.5,854300.0,2045.5,0.0,0.0,0.0,0.0,0.0,0.0,18800.0,2073.5,2073.5,2038.5,2045.5,854300.0,2045.5,0.0,0.0,0.0,0.0,0.0,6600.0,18800.0,both
3,2023-10-13,4.0,40.0,2100.5,2116.5,2085.5,2087.0,717700.0,2087.0,54400.0,370800.0,6.82,0.0,0.0,0.0,22100.0,2100.5,2116.5,2085.5,2087.0,717700.0,2087.0,54400.0,370800.0,6.82,0.0,0.0,0.0,22100.0,both
4,2023-10-12,3.0,40.0,2111.0,2131.0,2108.0,2126.0,644000.0,2126.0,0.0,0.0,0.0,0.0,0.0,0.0,20700.0,2111.0,2131.0,2108.0,2126.0,644000.0,2126.0,0.0,0.0,0.0,0.0,0.0,0.0,20700.0,both
5,2023-10-11,2.0,40.0,2119.5,2121.0,2100.5,2100.5,760900.0,2100.5,0.0,0.0,0.0,0.0,0.0,0.0,21400.0,2119.5,2121.0,2100.5,2100.5,760900.0,2100.5,0.0,0.0,0.0,0.0,0.0,0.0,21400.0,both
6,2023-10-10,1.0,40.0,2090.5,2110.5,2090.5,2103.5,1344500.0,2103.5,0.0,0.0,0.0,0.0,0.0,5100.0,22200.0,2090.5,2110.5,2090.5,2103.5,1344500.0,2103.5,0.0,0.0,0.0,0.0,0.0,5100.0,22200.0,both
7,2023-10-06,4.0,39.0,2078.0,2109.0,2070.0,2083.0,927500.0,2083.0,55200.0,372800.0,6.75,0.0,0.0,0.0,22600.0,2078.0,2109.0,2070.0,2083.0,927500.0,2083.0,55200.0,372800.0,6.75,0.0,0.0,0.0,22600.0,both
8,2023-10-05,3.0,39.0,2050.0,2086.0,2040.5,2083.0,1024200.0,2083.0,0.0,0.0,0.0,0.0,0.0,0.0,22300.0,2050.0,2086.0,2040.5,2083.0,1024200.0,2083.0,0.0,0.0,0.0,0.0,0.0,0.0,22300.0,both
9,2023-10-04,2.0,39.0,2061.5,2069.0,2038.0,2038.0,1092500.0,2038.0,0.0,0.0,0.0,0.0,0.0,0.0,22700.0,2061.5,2069.0,2038.0,2038.0,1092500.0,2038.0,0.0,0.0,0.0,0.0,0.0,0.0,22700.0,both
10,2023-10-03,1.0,39.0,2126.0,2131.5,2089.0,2091.0,1122200.0,2091.0,0.0,0.0,0.0,0.0,0.0,0.0,18400.0,2126.0,2131.5,2089.0,2091.0,1122200.0,2091.0,0.0,0.0,0.0,0.0,0.0,0.0,18400.0,both
11,2023-10-02,0.0,39.0,2164.5,2187.5,2144.5,2148.0,1000600.0,2148.0,0.0,0.0,0.0,0.0,0.0,13200.0,18200.0,2164.5,2187.5,2144.5,2148.0,1000600.0,2148.0,0.0,0.0,0.0,0.0,0.0,13200.0,18200.0,both
12,2023-09-29,4.0,38.0,2168.0,2170.5,2145.5,2153.0,1064200.0,2153.0,75600.0,342900.0,4.54,0.0,0.0,13000.0,16000.0,2168.0,2170.5,2145.5,2153.0,1064200.0,2153.0,75600.0,342900.0,4.54,0.0,0.0,0.0,0.0,both
13,2023-09-28,3.0,38.0,2168.0,2184.5,2161.5,2175.5,1196200.0,2175.5,0.0,0.0,0.0,0.0,0.0,29500.0,31000.0,2168.0,2184.5,2161.5,2175.5,1196200.0,2175.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both
14,2023-09-27,2.0,38.0,2200.0,2212.0,2177.5,2212.0,1473600.0,2212.0,0.0,0.0,0.0,0.0,0.0,28000.0,20900.0,,,,,,,,,,,,,,left_only
15,2023-09-26,1.0,38.0,2221.0,2234.5,2211.0,2217.5,1229100.0,2217.5,0.0,0.0,0.0,0.0,0.0,28200.0,22600.0,,,,,,,,,,,,,,left_only
16,2023-09-25,0.0,38.0,2218.0,2238.0,2213.5,2229.0,1013600.0,2229.0,0.0,0.0,0.0,0.0,0.0,28900.0,23300.0,,,,,,,,,,,,,,left_only
17,2023-09-22,4.0,37.0,2199.0,2217.0,2182.5,2207.0,799400.0,2207.0,106800.0,281300.0,2.63,0.0,0.0,28300.0,23500.0,0.0,0.0,0.0,0.0,0.0,0.0,106800.0,281300.0,2.63,0.0,0.0,0.0,0.0,both
18,2023-09-21,3.0,37.0,2227.5,2235.0,2206.5,2212.5,1133800.0,2212.5,0.0,0.0,0.0,0.0,0.0,28200.0,29000.0,,,,,,,,,,,,,,left_only
19,2023-09-20,2.0,37.0,2280.0,2285.5,2238.5,2243.5,1134400.0,2243.5,0.0,0.0,0.0,0.0,0.0,29500.0,25800.0,,,,,,,,,,,,,,left_only
20,2023-09-19,1.0,37.0,2271.0,2279.5,2255.0,2271.5,1290900.0,2271.5,0.0,0.0,0.0,0.0,0.0,28200.0,24300.0,,,,,,,,,,,,,,left_only
21,2023-09-15,4.0,36.0,2260.0,2286.5,2255.0,2275.0,1801200.0,2275.0,136700.0,270800.0,1.98,0.0,0.0,29300.0,32600.0,0.0,0.0,0.0,0.0,0.0,0.0,136700.0,270800.0,1.98,0.0,0.0,0.0,0.0,both
22,2023-09-14,3.0,36.0,2235.0,2254.0,2232.0,2249.0,933100.0,2249.0,0.0,0.0,0.0,0.0,1.0,31800.0,17300.0,,,,,,,,,,,,,,left_only
23,2023-09-13,2.0,36.0,2236.0,2245.0,2227.0,2231.5,1078800.0,2231.5,0.0,0.0,0.0,0.0,0.0,28700.0,32900.0,,,,,,,,,,,,,,left_only
24,2023-09-12,1.0,36.0,2231.0,2250.0,2230.5,2248.0,881500.0,2248.0,0.0,0.0,0.0,0.0,1.0,29800.0,15800.0,,,,,,,,,,,,,,left_only
25,2023-09-11,0.0,36.0,2263.0,2266.5,2232.5,2241.5,1188600.0,2241.5,0.0,0.0,0.0,0.0,0.0,28800.0,35600.0,,,,,,,,,,,,,,left_only
26,2023-09-08,4.0,35.0,2215.5,2238.0,2213.0,2218.0,1310400.0,2218.0,134500.0,175400.0,1.3,0.0,1.0,31700.0,25300.0,0.0,0.0,0.0,0.0,0.0,0.0,134500.0,175400.0,1.3,0.0,0.0,0.0,0.0,both
27,2023-09-07,3.0,35.0,2227.0,2250.0,2222.5,2236.5,1134100.0,2236.5,0.0,0.0,0.0,0.0,1.0,36100.0,13300.0,,,,,,,,,,,,,,left_only
28,2023-09-06,2.0,35.0,2218.5,2229.5,2215.0,2227.0,1091700.0,2227.0,0.0,0.0,0.0,0.0,3.0,38800.0,14400.0,,,,,,,,,,,,,,left_only
29,2023-09-05,1.0,35.0,2233.5,2241.5,2209.5,2224.5,1093100.0,2224.5,0.0,0.0,0.0,0.0,1.0,34200.0,15200.0,,,,,,,,,,,,,,left_only
30,2023-09-04,0.0,35.0,2227.0,2249.0,2217.0,2242.5,1125000.0,2242.5,0.0,0.0,0.0,0.0,1.0,39000.0,27300.0,,,,,,,,,,,,,,left_only
31,2023-09-01,4.0,34.0,2220.0,2252.5,2215.5,2242.0,1235900.0,2242.0,137500.0,159900.0,1.16,0.05,1.0,30200.0,14400.0,0.0,0.0,0.0,0.0,0.0,0.0,137500.0,159900.0,1.16,0.0,0.0,0.0,0.0,both
32,2023-08-31,3.0,34.0,2243.5,2272.0,2231.0,2236.0,3824500.0,2236.0,0.0,0.0,0.0,0.0,0.0,29600.0,25800.0,,,,,,,,,,,,,,left_only
33,2023-08-30,2.0,34.0,2239.0,2252.5,2230.5,2243.0,833700.0,2243.0,0.0,0.0,0.0,0.15,3.0,46200.0,26800.0,,,,,,,,,,,,,,left_only
34,2023-08-29,1.0,34.0,2241.0,2250.0,2231.5,2239.5,568900.0,2239.5,0.0,0.0,0.0,0.05,1.0,45800.0,24900.0,,,,,,,,,,,,,,left_only
35,2023-08-28,0.0,34.0,2220.0,2241.0,2212.0,2240.0,563400.0,2240.0,0.0,0.0,0.0,0.05,1.0,45300.0,25800.0,,,,,,,,,,,,,,left_only
36,2023-08-25,4.0,33.0,2195.0,2209.5,2190.5,2205.0,686900.0,2205.0,131000.0,147700.0,1.13,0.05,1.0,42900.0,14500.0,0.0,0.0,0.0,0.0,0.0,0.0,131000.0,147700.0,1.13,0.0,0.0,0.0,0.0,both
37,2023-08-24,3.0,33.0,2200.0,2221.0,2183.5,2211.0,621400.0,2211.0,0.0,0.0,0.0,0.0,1.0,37100.0,34900.0,,,,,,,,,,,,,,left_only
