,日付,信用売残,信用買残,信用倍率
0,2023-11-10,102400,351600,3.43
1,2023-11-02,52100,366700,7.04
2,2023-10-27,46600,358900,7.7
3,2023-10-20,53200,350500,6.59
4,2023-10-13,54400,370800,6.82
5,2023-10-06,55200,372800,6.75
6,2023-09-29,75600,342900,4.54
7,2023-09-22,106800,281300,2.63
8,2023-09-15,136700,270800,1.98
9,2023-09-08,134500,175400,1.3
10,2023-09-01,137500,159900,1.16
11,2023-08-25,131000,147700,1.13
12,2023-08-18,134900,173400,1.29
13,2023-08-10,156200,236400,1.51
14,2023-08-04,130200,141700,1.09
15,2023-07-28,100300,187000,1.86
16,2023-07-21,77000,184200,2.39
17,2023-07-14,87300,190400,2.18
18,2023-07-07,85400,187800,2.2
19,2023-06-30,88900,169000,1.9
20,2023-06-23,95700,202400,2.11
21,2023-06-16,108900,187300,1.72
22,2023-06-09,67200,186600,2.78
23,2023-06-02,39200,189700,4.84
24,2023-05-26,72800,182400,2.51
25,2023-05-19,85200,134800,1.58
