,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
124,2023-11-02,3,2102.0,2102.0,2033.0,2042.5,1417200.0,2042.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2023-11-01,2,2094.0,2107.5,2061.5,2089.0,1680600.0,2089.0,0.0,0.0,0.0,0.0,0.0,14300.0,14000.0
126,2023-10-31,1,2002.5,2058.5,1984.0,2054.0,2434200.0,2054.0,0.0,0.0,0.0,0.0,0.0,7800.0,13900.0
127,2023-10-30,0,1999.0,2009.0,1959.0,1976.0,1746700.0,1976.0,0.0,0.0,0.0,0.0,0.0,4000.0,22300.0
128,2023-10-27,4,2008.0,2015.5,1997.5,2015.5,1021200.0,2015.5,46600.0,358900.0,7.7,0.0,0.0,0.0,24400.0
129,2023-10-26,3,2008.5,2011.0,1976.0,1991.0,933000.0,1991.0,0.0,0.0,0.0,0.0,0.0,0.0,23700.0
130,2023-10-25,2,2024.0,2036.0,2007.0,2014.5,922800.0,2014.5,0.0,0.0,0.0,0.0,0.0,0.0,17600.0
131,2023-10-24,1,2020.0,2021.0,1972.5,2012.0,1051800.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,20600.0
132,2023-10-23,0,2007.5,2024.5,2004.0,2010.5,739000.0,2010.5,0.0,0.0,0.0,0.0,0.0,8100.0,18100.0
133,2023-10-20,4,2024.0,2027.0,2001.5,2019.5,898000.0,2019.5,53200.0,350500.0,6.59,0.0,0.0,0.0,17600.0
134,2023-10-19,3,2019.0,2036.0,2010.0,2021.0,692700.0,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,17600.0
