,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-11-17,2088.0,2128.0,2088.0,2128.0,1007100,2128.0
1,2023-11-16,2104.5,2109.5,2077.5,2086.5,1018700,2086.5
2,2023-11-15,2100.0,2107.5,2084.0,2103.0,1119400,2103.0
3,2023-11-14,2078.5,2091.5,2072.0,2078.5,805600,2078.5
4,2023-11-13,2079.0,2085.0,2065.5,2071.0,814400,2071.0
5,2023-11-10,2066.0,2080.0,2056.0,2078.5,740000,2078.5
6,2023-11-09,2070.0,2080.5,2057.0,2077.5,912600,2077.5
7,2023-11-08,2074.5,2086.5,2062.5,2074.5,1396300,2074.5
8,2023-11-07,2059.5,2085.5,2049.0,2062.5,1049500,2062.5
9,2023-11-06,2083.5,2092.5,2066.5,2077.5,1428700,2077.5
10,2023-11-02,2102.0,2102.0,2033.0,2042.5,1417200,2042.5
11,2023-11-01,2094.0,2107.5,2061.5,2089.0,1680600,2089.0
12,2023-10-31,2002.5,2058.5,1984.0,2054.0,2434200,2054.0
13,2023-10-30,1999.0,2009.0,1959.0,1976.0,1746700,1976.0
14,2023-10-27,2008.0,2015.5,1997.5,2015.5,1021200,2015.5
15,2023-10-26,2008.5,2011.0,1976.0,1991.0,933000,1991.0
16,2023-10-25,2024.0,2036.0,2007.0,2014.5,922800,2014.5
17,2023-10-24,2020.0,2021.0,1972.5,2012.0,1051800,2012.0
18,2023-10-23,2007.5,2024.5,2004.0,2010.5,739000,2010.5
19,2023-10-20,2024.0,2027.0,2001.5,2019.5,898000,2019.5
20,2023-10-19,2019.0,2036.0,2010.0,2021.0,692700,2021.0
21,2023-10-18,2052.0,2059.5,2028.0,2043.0,605300,2043.0
22,2023-10-17,2064.5,2074.0,2035.5,2046.0,685200,2046.0
23,2023-10-16,2073.5,2073.5,2038.5,2045.5,854300,2045.5
24,2023-10-13,2100.5,2116.5,2085.5,2087.0,717700,2087.0
