,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-09-25,2218.0,2238.0,2213.5,2229.0,1013600.0,2229.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,2023-09-22,2199.0,2217.0,2182.5,2207.0,799400.0,2207.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2,2023-09-21,2227.5,2235.0,2206.5,2212.5,1133800.0,2212.5,0.0,0.0,0.0,0.0,0,28200.0,29000.0
3,2023-09-20,2280.0,2285.5,2238.5,2243.5,1134400.0,2243.5,0.0,0.0,0.0,0.0,0,29500.0,25800.0
4,2023-09-19,2271.0,2279.5,2255.0,2271.5,1290900.0,2271.5,0.0,0.0,0.0,0.0,0,28200.0,24300.0
5,2023-09-15,2260.0,2286.5,2255.0,2275.0,1801200.0,2275.0,136700.0,270800.0,1.98,0.0,0,29300.0,32600.0
6,2023-09-14,2235.0,2254.0,2232.0,2249.0,933100.0,2249.0,0.0,0.0,0.0,0.0,1,31800.0,17300.0
7,2023-09-13,2236.0,2245.0,2227.0,2231.5,1078800.0,2231.5,0.0,0.0,0.0,0.0,0,28700.0,32900.0
8,2023-09-12,2231.0,2250.0,2230.5,2248.0,881500.0,2248.0,0.0,0.0,0.0,0.0,1,29800.0,15800.0
9,2023-09-11,2263.0,2266.5,2232.5,2241.5,1188600.0,2241.5,0.0,0.0,0.0,0.0,0,28800.0,35600.0
10,2023-09-08,2215.5,2238.0,2213.0,2218.0,1310400.0,2218.0,134500.0,175400.0,1.3,0.0,1,31700.0,25300.0
11,2023-09-07,2227.0,2250.0,2222.5,2236.5,1134100.0,2236.5,0.0,0.0,0.0,0.0,1,36100.0,13300.0
12,2023-09-06,2218.5,2229.5,2215.0,2227.0,1091700.0,2227.0,0.0,0.0,0.0,0.0,3,38800.0,14400.0
13,2023-09-05,2233.5,2241.5,2209.5,2224.5,1093100.0,2224.5,0.0,0.0,0.0,0.0,1,34200.0,15200.0
14,2023-09-04,2227.0,2249.0,2217.0,2242.5,1125000.0,2242.5,0.0,0.0,0.0,0.0,1,39000.0,27300.0
15,2023-09-01,2220.0,2252.5,2215.5,2242.0,1235900.0,2242.0,137500.0,159900.0,1.16,0.05,1,30200.0,14400.0
16,2023-08-31,2243.5,2272.0,2231.0,2236.0,3824500.0,2236.0,0.0,0.0,0.0,0.0,0,29600.0,25800.0
17,2023-08-30,2239.0,2252.5,2230.5,2243.0,833700.0,2243.0,0.0,0.0,0.0,0.15,3,46200.0,26800.0
18,2023-08-29,2241.0,2250.0,2231.5,2239.5,568900.0,2239.5,0.0,0.0,0.0,0.05,1,45800.0,24900.0
19,2023-08-28,2220.0,2241.0,2212.0,2240.0,563400.0,2240.0,0.0,0.0,0.0,0.05,1,45300.0,25800.0
20,2023-08-25,2195.0,2209.5,2190.5,2205.0,686900.0,2205.0,131000.0,147700.0,1.13,0.05,1,42900.0,14500.0
21,2023-08-24,2200.0,2221.0,2183.5,2211.0,621400.0,2211.0,0.0,0.0,0.0,0.0,1,37100.0,34900.0
22,2023-08-23,2180.0,2207.0,2177.0,2207.0,574800.0,2207.0,0.0,0.0,0.0,0.15,3,42000.0,27600.0
23,2023-08-22,2209.0,2219.0,2188.5,2209.5,1219800.0,2209.5,0.0,0.0,0.0,0.05,1,45300.0,29500.0
24,2023-08-21,2184.0,2210.0,2178.5,2187.0,771400.0,2187.0,0.0,0.0,0.0,0.05,1,40900.0,22500.0
25,2023-08-18,2229.0,2235.0,2171.5,2178.0,1431400.0,2178.0,134900.0,173400.0,1.29,0.0,0,31500.0,35000.0
26,2023-08-17,2185.0,2189.5,2154.5,2179.0,1074000.0,2179.0,0.0,0.0,0.0,0.05,1,44900.0,24600.0
27,2023-08-16,2229.5,2233.5,2210.0,2212.0,829600.0,2212.0,0.0,0.0,0.0,0.15,3,47000.0,16700.0
28,2023-08-15,2242.5,2244.5,2225.5,2235.0,479600.0,2235.0,0.0,0.0,0.0,0.0,1,46000.0,15800.0
29,2023-08-14,2264.5,2270.0,2224.0,2229.5,774000.0,2229.5,0.0,0.0,0.0,0.0,1,46600.0,17100.0
30,2023-08-10,2200.0,2265.0,2198.5,2258.5,930300.0,2258.5,156200.0,236400.0,1.51,0.0,1,60200.0,16800.0
31,2023-08-09,2207.0,2229.5,2200.5,2224.0,709200.0,2224.0,0.0,0.0,0.0,0.0,1,42700.0,22300.0
32,2023-08-08,2197.0,2219.5,2191.0,2213.0,766900.0,2213.0,0.0,0.0,0.0,0.0,4,65300.0,22700.0
33,2023-08-07,2155.0,2177.0,2148.0,2175.5,652900.0,2175.5,0.0,0.0,0.0,0.0,0,58800.0,29400.0
34,2023-08-04,2157.0,2158.5,2132.0,2138.5,843700.0,2138.5,130200.0,141700.0,1.09,0.05,1,42500.0,20000.0
35,2023-08-03,2170.0,2170.0,2132.5,2160.5,1050100.0,2160.5,0.0,0.0,0.0,0.0,1,37700.0,16900.0
36,2023-08-02,2175.0,2195.0,2166.5,2185.0,1122400.0,2185.0,0.0,0.0,0.0,0.0,0,47200.0,102000.0
37,2023-08-01,2168.0,2177.0,2146.5,2177.0,1069700.0,2177.0,0.0,0.0,0.0,0.0,1,92000.0,34700.0
38,2023-07-31,2088.0,2171.5,2086.0,2159.0,2271500.0,2159.0,0.0,0.0,0.0,0.0,1,90500.0,38300.0
39,2023-07-28,2029.0,2055.5,2011.0,2038.0,1317200.0,2038.0,100300.0,187000.0,1.86,0.0,0,21800.0,36500.0
40,2023-07-27,2067.0,2068.5,2053.5,2065.0,662900.0,2065.0,0.0,0.0,0.0,0.0,0,21400.0,31900.0
41,2023-07-26,2069.0,2075.5,2055.0,2070.5,622800.0,2070.5,0.0,0.0,0.0,0.0,0,21800.0,32200.0
42,2023-07-25,2050.0,2066.0,2047.0,2060.5,801900.0,2060.5,0.0,0.0,0.0,0.0,0,22300.0,30500.0
43,2023-07-24,2040.0,2054.0,2037.5,2042.5,628700.0,2042.5,0.0,0.0,0.0,0.0,0,13200.0,27900.0
44,2023-07-21,2018.5,2030.0,2008.5,2026.0,660900.0,2026.0,77000.0,184200.0,2.39,0.0,0,13200.0,24400.0
45,2023-07-20,2035.0,2051.0,2023.0,2027.0,600600.0,2027.0,0.0,0.0,0.0,0.0,1,25000.0,21100.0
46,2023-07-19,2036.0,2047.0,2021.0,2037.5,636600.0,2037.5,0.0,0.0,0.0,0.0,0,23600.0,23000.0
47,2023-07-18,2014.0,2022.0,2006.0,2019.0,578500.0,2019.0,0.0,0.0,0.0,0.0,0,22600.0,21800.0
48,2023-07-14,2000.0,2014.5,1993.5,2008.0,635800.0,2008.0,87300.0,190400.0,2.18,0.0,0,22700.0,21900.0
49,2023-07-13,2004.5,2012.0,1981.0,2000.0,621000.0,2000.0,0.0,0.0,0.0,0.0,1,30800.0,27300.0
50,2023-07-12,2013.0,2013.5,1986.0,1991.0,629200.0,1991.0,0.0,0.0,0.0,0.0,0,20500.0,25200.0
51,2023-07-11,2028.0,2034.0,2006.5,2011.5,707600.0,2011.5,0.0,0.0,0.0,0.0,0,21000.0,20300.0
52,2023-07-10,2018.0,2030.5,2003.0,2018.0,844800.0,2018.0,0.0,0.0,0.0,0.0,0,17900.0,15700.0
53,2023-07-07,2020.0,2039.5,2006.5,2020.5,876600.0,2020.5,85400.0,187800.0,2.2,0.0,0,16400.0,15500.0
54,2023-07-06,2055.5,2062.0,2031.0,2043.0,941500.0,2043.0,0.0,0.0,0.0,0.0,0,15800.0,14500.0
55,2023-07-05,2041.0,2064.5,2034.0,2062.0,835500.0,2062.0,0.0,0.0,0.0,0.0,0,21400.0,19500.0
56,2023-07-04,2081.0,2083.5,2058.5,2061.0,681800.0,2061.0,0.0,0.0,0.0,0.0,0,13900.0,16200.0
57,2023-07-03,2084.0,2100.5,2080.5,2090.0,566900.0,2090.0,0.0,0.0,0.0,0.0,1,20400.0,15600.0
58,2023-06-30,2089.0,2092.0,2057.5,2072.0,1308400.0,2072.0,88900.0,169000.0,1.9,0.0,0,19400.0,18400.0
59,2023-06-29,2090.0,2105.5,2086.5,2091.0,1352900.0,2091.0,0.0,0.0,0.0,0.0,1,27300.0,16600.0
60,2023-06-28,2063.5,2087.5,2059.0,2086.0,908000.0,2086.0,0.0,0.0,0.0,0.0,3,25500.0,16300.0
61,2023-06-27,2066.0,2074.0,2040.0,2051.0,918600.0,2051.0,0.0,0.0,0.0,0.0,1,30100.0,16600.0
62,2023-06-26,2054.0,2080.0,2043.0,2052.5,1088800.0,2052.5,0.0,0.0,0.0,0.0,1,24600.0,16200.0
63,2023-06-23,2072.0,2083.5,2038.0,2049.0,855800.0,2049.0,95700.0,202400.0,2.11,0.0,0,21500.0,32100.0
64,2023-06-22,2062.5,2083.0,2060.0,2068.5,855000.0,2068.5,0.0,0.0,0.0,0.0,0,23700.0,33200.0
65,2023-06-21,2027.5,2058.5,2027.0,2058.0,718500.0,2058.0,0.0,0.0,0.0,0.0,3,25000.0,18600.0
66,2023-06-20,2041.0,2043.0,2019.5,2033.0,617000.0,2033.0,0.0,0.0,0.0,0.0,0,16900.0,18200.0
67,2023-06-19,2065.0,2074.0,2036.5,2047.5,832700.0,2047.5,0.0,0.0,0.0,0.0,0,18700.0,20300.0
68,2023-06-16,2054.0,2056.5,2035.0,2052.5,1341000.0,2052.5,108900.0,187300.0,1.72,0.0,1,31500.0,25200.0
69,2023-06-15,2051.0,2069.0,2044.5,2058.5,737200.0,2058.5,0.0,0.0,0.0,0.0,1,28000.0,18900.0
70,2023-06-14,2059.0,2062.0,2047.5,2051.5,1071600.0,2051.5,0.0,0.0,0.0,0.0,0,9300.0,17900.0
71,2023-06-13,2022.0,2050.0,2021.0,2038.5,1042000.0,2038.5,0.0,0.0,0.0,0.0,0,8600.0,18900.0
72,2023-06-12,2035.0,2035.0,2018.0,2021.0,618800.0,2021.0,0.0,0.0,0.0,0.0,0,5900.0,17400.0
73,2023-06-09,1996.0,2010.0,1993.5,2006.0,1158700.0,2006.0,67200.0,186600.0,2.78,0.0,0,7100.0,17000.0
74,2023-06-08,2000.0,2009.5,1977.5,1989.5,990400.0,1989.5,0.0,0.0,0.0,0.0,0,4700.0,17400.0
75,2023-06-07,2050.0,2053.5,1995.5,1999.0,1424400.0,1999.0,0.0,0.0,0.0,0.0,0,4700.0,18500.0
76,2023-06-06,1971.5,2028.5,1970.5,2028.5,1000000.0,2028.5,0.0,0.0,0.0,0.0,0,5000.0,15200.0
