,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-11-01,0,0,14300,14000
1,2023-10-31,0,0,7800,13900
2,2023-10-30,0,0,4000,22300
3,2023-10-27,0,0,0,24400
4,2023-10-26,0,0,0,23700
5,2023-10-25,0,0,0,17600
6,2023-10-24,0,0,0,20600
7,2023-10-23,0,0,8100,18100
8,2023-10-20,0,0,0,17600
9,2023-10-19,0,0,0,17600
10,2023-10-18,0,0,0,17700
11,2023-10-17,0,0,0,18700
12,2023-10-16,0,0,6600,18800
13,2023-10-13,0,0,0,22100
14,2023-10-12,0,0,0,20700
15,2023-10-11,0,0,0,21400
16,2023-10-10,0,0,5100,22200
17,2023-10-06,0,0,0,22600
18,2023-10-05,0,0,0,22300
19,2023-10-04,0,0,0,22700
20,2023-10-03,0,0,0,18400
21,2023-10-02,0,0,13200,18200
