,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残,_merge
0,2023-11-02,3,43,3645.0,3665.0,3558.0,3558.0,953200.0,3558.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3645.0,3665.0,3558.0,3558.0,953200.0,3558.0,0.0,0.0,0.0,0,0,0.0,0.0,both
1,2023-11-01,2,43,3575.0,3602.0,3537.0,3575.0,1338100.0,3575.0,0.0,0.0,0.0,0.0,0,1500.0,6600.0,3575.0,3602.0,3537.0,3575.0,1338100.0,3575.0,0.0,0.0,0.0,0,0,1500.0,6600.0,both
2,2023-10-31,1,43,3430.0,3517.0,3405.0,3505.0,1390900.0,3505.0,0.0,0.0,0.0,0.0,0,1200.0,6600.0,3430.0,3517.0,3405.0,3505.0,1390900.0,3505.0,0.0,0.0,0.0,0,0,1200.0,6600.0,both
3,2023-10-30,0,43,3427.0,3455.0,3371.0,3403.0,2927900.0,3403.0,0.0,0.0,0.0,0.0,0,6300.0,8000.0,3427.0,3455.0,3371.0,3403.0,2927900.0,3403.0,0.0,0.0,0.0,0,0,6300.0,8000.0,both
4,2023-10-27,4,42,3440.0,3500.0,3418.0,3482.0,2087500.0,3482.0,55500.0,151600.0,2.73,0.0,0,200.0,7800.0,3440.0,3500.0,3418.0,3482.0,2087500.0,3482.0,55500.0,151600.0,2.73,0,0,200.0,7800.0,both
5,2023-10-26,3,42,3672.0,3685.0,3581.0,3630.0,997500.0,3630.0,0.0,0.0,0.0,0.0,0,3100.0,9600.0,3672.0,3685.0,3581.0,3630.0,997500.0,3630.0,0.0,0.0,0.0,0,0,3100.0,9600.0,both
6,2023-10-25,2,42,3670.0,3733.0,3653.0,3705.0,860600.0,3705.0,0.0,0.0,0.0,0.0,0,8500.0,6600.0,3670.0,3733.0,3653.0,3705.0,860600.0,3705.0,0.0,0.0,0.0,0.00,0,8500.0,6600.0,both
7,2023-10-24,1,42,3637.0,3669.0,3565.0,3650.0,892600.0,3650.0,0.0,0.0,0.0,0.0,0,6700.0,6900.0,3637.0,3669.0,3565.0,3650.0,892600.0,3650.0,0.0,0.0,0.0,0,0,6700.0,6900.0,both
8,2023-10-23,0,42,3675.0,3723.0,3674.0,3689.0,537900.0,3689.0,0.0,0.0,0.0,0.0,0,12900.0,10700.0,3675.0,3723.0,3674.0,3689.0,537900.0,3689.0,0.0,0.0,0.0,0.00,0,12900.0,10700.0,both
9,2023-10-20,4,41,3655.0,3730.0,3608.0,3687.0,387700.0,3687.0,76300.0,104100.0,1.36,0.0,0,12600.0,10700.0,3655.0,3730.0,3608.0,3687.0,387700.0,3687.0,76300.0,104100.0,1.36,0.00,0,12600.0,10700.0,both
10,2023-10-19,3,41,3663.0,3705.0,3654.0,3677.0,700900.0,3677.0,0.0,0.0,0.0,0.0,0,13600.0,11600.0,3663.0,3705.0,3654.0,3677.0,700900.0,3677.0,0.0,0.0,0.0,0.00,0,13600.0,11600.0,both
11,2023-10-18,2,41,3725.0,3769.0,3681.0,3711.0,754900.0,3711.0,0.0,0.0,0.0,0.0,0,11900.0,9600.0,3725.0,3769.0,3681.0,3711.0,754900.0,3711.0,0.0,0.0,0.0,0.00,0,11900.0,9600.0,both
12,2023-10-17,1,41,3722.0,3757.0,3710.0,3728.0,456600.0,3728.0,0.0,0.0,0.0,0.0,0,12500.0,9800.0,3722.0,3757.0,3710.0,3728.0,456600.0,3728.0,0.0,0.0,0.0,0.00,0,12500.0,9800.0,both
